caseseq	workstat	marital	children	religion	race	control	attmar	attrole	sel	atthouse	age	educ
1	3	2	1	3	1	5	36	42	15	27	5	12
2	1	2	1	3	1	5	21	38	62	20	5	12
3	1	2	1	2	1	6	20	44	19	23	6	12
4	2	2	1	1	1	6	24	31	39	28	2	9
5	2	2	1	4	1	6	15	29	77	24	8	12
6	1	2	1	2	1	7	28	26	8	25	6	12
7	2	2	1	3	1	6	27	44	35	30	8	13
8	2	2	1	4	1	8	18	48	8	24	6	12
9	2	2	1	2	1	5	12	32	80	20	7	16
10	1	3	1	1	1	7	53	24	62	30	4	12
11	2	2	1	2	1	5	11	43	22	15	5	12
12	2	2	1	1	1	6	16	45	39	22	5	10
13	2	2	1	2	1	7	17	52	11	19	2	12
14	2	2	1	3	1	6	20	45	45	25	2	10
15	2	2	1	1	1	6	15	41	52	17	4	12
16	1	2	1	2	2	7	12	35	27	19	4	13
21	2	2	1	4	1	7	18	37	44	22	3	17
22	1	3	1	3	1	6	11	46	44	21	5	12
23	2	2	1	1	1	6	21	30	77	28	3	15
24	1	2	1	2	1	9	14	37	39	25	1	12
25	1	2	1	2	1	9	26	38	15	19	3	12
26	1	2	1	4	1	8	25	26	84	31	2	17
27	1	2	1	3	1	6	21	34	65	25	7	14
28	3	2	1	2	1	8	38	46	61	26	6	12
29	1	2	1	1	1	5	32	33	87	26	5	12
30	1	2	1	4	1	7	23	24	66	33	4	13
31	2	2	1	1	1	9	21	38	84	20	8	15
32	2	2	1	3	1	6	25	30	72	26	8	18
33	1	3	1	3	1	7	35	41	39	27	7	17
34	1	2	1	3	1	9	19	34	62	30	6	16
35	1	2	1	1	1	6	19	37	38	31	4	16
36	1	2	1	3	1	6	16	24	52	25	4	15
37	1	2	1	3	1	9	21	52	44	27	6	9
38	2	2	1	4	1	7	16	32	77	23	3	15
39	3	2	1	3	1	6	23	35	87	15	4	13
40	1	2	1	2	1	5	26	47	8	32	3	13
45	2	3	1	2	2	7	11	39	0	21	4	9
46	1	2	1	2	2	7	35	28	62	28	3	12
47	1	2	1	3	1	5	17	34	62	16	8	12
48	1	2	1	4	1	8	18	26	84	24	5	16
49	1	2	1	3	1	6	15	37	69	19	7	18
50	1	2	1	3	1	7	33	40	21	23	3	12
51	3	2	1	3	1	7	18	36	27	24	7	13
52	1	2	1	4	1	8	19	28	61	31	8	12
53	1	3	1	1	1	7	20	27	64	29	3	20
54	1	2	1	2	1	5	12	29	92	23	3	14
55	1	2	1	2	1	5	17	41	62	24	6	12
56	1	2	1	1	1	6	16	30	84	25	6	20
57	2	2	1	3	1	7	16	40	86	22	4	14
65	1	1	0	3	1	5	30	27	14	26	1	13
66	1	2	1	3	1	7	21	30	58	27	4	14
67	2	2	1	2	1	9	26	35	62	24	4	12
68	1	2	1	3	1	6	18	40	48	27	7	13
69	2	2	1	4	1	10	21	39	45	24	2	12
70	2	2	1	3	1	8	22	41	15	23	2	12
71	1	2	1	2	1	8	29	32	29	25	2	10
72	1	2	1	2	2	7	30	35	44	22	2	12
73	1	3	1	3	2	6	20	47	41	25	8	11
74	1	2	1	2	1	5	12	46	40	15	6	12
75	1	1	0	3	1	6	16	28	38	28	4	12
76	1	2	1	2	1	6	17	28	74	25	3	15
77	1	3	0	1	1	7	11	27	16	22	2	12
78	1	2	0	2	1	6	15	34	71	21	1	12
79	1	2	1	3	1	8	18	27	62	29	8	15
80	1	3	1	1	2	7	44	27	62	26	4	14
81	1	2	1	3	1	8	19	36	16	23	3	16
82	1	2	1	2	1	5	33	39	52	26	6	10
83	1	3	1	4	1	9	25	35	39	21	6	12
84	1	2	1	1	1	5	14	48	19	22	7	12
85	1	3	1	4	1	5	35	30	17	31	6	10
86	3	2	1	1	1	9	49	35	19	35	2	10
87	3	2	1	2	1	6	18	40	53	28	8	12
88	2	2	1	1	1	9	17	26	81	28	3	16
89	2	2	1	1	1	5	16	32	22	20	6	13
90	1	2	1	3	1	9	19	37	84	24	5	12
91	2	2	1	2	1	6	36	39	40	25	5	14
95	1	2	0	4	1	9	22	40	49	25	1	13
97	3	2	1	2	1	7	16	34	38	16	6	14
98	2	2	1	3	1	6	22	38	87	18	6	12
99	2	2	1	9	1	6	29	26	62	23	4	15
101	1	1	0	1	1	8	35	32	25	24	1	15
102	1	3	1	1	1	6	30	42	17	29	4	12
103	2	2	1	9	2	5	21	50	81	16	8	8
104	1	2	1	2	2	7	22	38	65	22	1	12
105	1	3	1	3	1	8	44	51	43	27	9	14
106	1	1	0	3	1	9	35	40	44	23	4	12
107	1	2	1	4	1	8	26	34	62	26	3	13
108	1	2	1	3	1	8	14	36	10	30	4	20
109	2	2	1	4	1	7	13	47	61	23	8	12
110	1	3	1	3	1	7	30	47	62	26	8	12
111	1	2	1	3	1	5	29	23	62	30	4	14
112	2	2	1	3	1	5	24	33	62	25	3	13
113	1	2	1	3	1	5	15	38	62	22	6	18
114	2	2	1	1	1	8	25	43	38	21	2	12
115	2	2	0	3	1	5	14	32	0	16	8	16
116	2	2	1	3	1	7	27	35	43	23	3	12
117	3	1	0	3	1	6	25	36	62	25	1	16
118	1	1	0	1	1	5	20	32	74	20	1	13
119	3	2	1	2	2	9	27	44	19	18	1	9
