subno	helpful	reliant	defbel	yielding	cheerful	indpt	athlet	shy	assert	strpers	forceful	affect	flatter	loyal	analyt	feminine	sympathy	moody	sensitiv	undstand	compass	leaderab	soothe	risk	decide	selfsuff	conscien	dominant	masculin	stand	happy	softspok	warm	truthful	tender	gullible	leadact	childlik	individ	foullang	lovchil	compete	ambitiou	gentle	H	DUMMY
536	6	6	6	5	6	6	5	2	6	6	4	6	3	6	6	6	6	1	6	7	6	5	6	5	5	6	6	4	1	6	6	6	6	6	6	3	5	3	6	3	6	4	5	6	.0380870043787771	0
38	6	5	6	4	6	5	4	4	4	5	4	6	5	6	6	5	5	5	5	5	5	6	6	4	4	5	6	4	1	6	6	5	6	6	5	4	5	2	4	6	7	6	5	6	.0464548657699398	0
405	7	6	7	6	6	6	5	1	4	4	4	5	5	7	5	6	6	4	7	6	6	6	6	4	5	6	6	5	2	6	6	5	5	7	5	2	6	2	5	2	6	4	5	5	.0485392011791224	0
306	7	6	6	4	6	6	3	4	3	4	4	7	6	7	6	7	7	4	6	6	6	5	6	4	5	6	6	3	1	6	6	6	6	7	6	4	4	2	7	6	7	6	7	7	.0498381508884809	0
709	7	7	6	6	7	7	6	1	6	6	5	7	5	7	7	7	7	1	7	7	7	6	6	6	4	7	7	4	1	6	6	6	7	7	7	3	6	2	7	7	7	4	6	7	.0523084542667268	0
489	6	5	5	5	5	5	4	3	5	5	5	5	5	6	4	4	5	3	4	5	4	5	5	4	5	5	5	4	3	4	5	3	4	6	5	2	5	2	5	2	6	6	6	5	.0523596293389458	0
113	6	6	6	4	6	6	3	4	5	5	4	6	3	6	5	6	5	2	5	6	5	6	5	6	6	6	6	5	2	5	6	5	6	7	5	2	6	3	5	6	7	5	6	6	.0523856077527454	0
517	5	5	6	4	5	5	3	3	5	6	5	6	5	6	6	6	5	4	5	5	5	4	4	4	4	5	6	5	1	4	5	3	5	5	5	3	3	4	4	3	5	3	6	5	.0525896966658628	0
9	7	6	7	5	6	7	5	2	5	6	6	7	3	7	7	6	6	4	6	6	6	6	5	4	4	6	7	4	1	7	6	6	6	7	6	1	5	2	7	2	6	4	4	6	.0527685223174348	0
425	5	5	6	4	5	5	1	4	4	6	4	6	5	6	5	6	7	3	6	6	6	6	5	5	6	5	6	4	1	5	5	4	6	6	6	5	6	3	5	4	6	5	5	6	.0528741651026366	0
363	6	5	5	4	6	6	3	4	4	4	4	6	3	7	6	5	6	2	5	7	6	6	6	4	5	6	6	4	1	4	6	5	6	6	5	4	6	2	5	1	7	4	5	6	.0534431601652808	0
4	6	6	7	4	6	6	3	4	4	3	3	5	3	7	6	6	5	2	6	6	6	2	6	5	5	6	6	4	2	6	6	5	6	6	5	4	3	2	5	6	6	4	6	5	.0540748554719141	0
336	6	6	5	4	7	6	4	3	4	6	4	7	6	7	5	7	7	2	5	5	6	5	6	4	6	6	7	4	1	5	7	6	7	6	7	6	5	2	5	7	7	5	5	7	.0543393025501942	0
504	7	6	6	5	6	6	7	3	5	6	6	6	3	7	6	6	6	4	6	6	6	6	6	5	5	6	7	4	1	6	6	3	6	7	6	4	6	1	6	6	6	7	6	5	.055878820084986	0
687	6	7	6	5	6	7	3	4	6	6	6	7	3	7	5	6	7	3	6	7	7	3	7	5	4	7	6	4	1	5	6	6	6	7	7	4	4	2	5	6	6	3	5	7	.0562199631742893	0
522	7	7	7	4	6	7	7	3	6	6	7	6	5	6	5	6	7	1	6	6	6	7	6	5	7	7	7	7	1	7	7	3	6	6	5	2	7	1	6	4	7	7	7	6	.0568643021312086	0
498	7	6	7	6	7	6	4	4	5	5	3	7	5	7	7	6	6	2	6	6	6	6	6	5	5	5	6	5	1	7	6	6	6	6	6	5	6	4	5	4	7	6	6	6	.0582282223769463	0
505	7	7	6	4	6	7	7	3	5	6	5	6	4	7	6	5	7	1	7	7	7	6	7	5	6	7	7	5	1	6	6	5	5	7	5	1	5	2	5	6	7	6	6	5	.0585838405731944	0
49	7	7	5	5	6	6	4	3	4	5	4	6	5	7	6	6	6	1	5	5	6	6	6	5	6	6	6	4	3	5	6	5	6	6	5	4	5	2	4	2	7	5	5	5	.0591214567721906	0
255	6	7	6	4	5	7	7	1	6	6	6	6	6	6	6	6	6	2	6	6	6	7	6	6	6	6	6	6	1	6	6	4	6	7	7	3	7	2	7	4	6	6	6	6	.0591496471795833	0
272	5	4	4	3	6	4	2	4	3	4	3	6	4	7	6	5	7	4	6	6	7	3	5	3	3	4	5	3	2	3	5	4	6	6	6	4	3	3	4	4	7	3	4	7	.0594433663814901	0
319	6	7	7	4	5	6	4	3	5	5	5	6	2	7	6	6	6	2	6	5	5	4	5	5	6	6	6	6	1	6	5	5	5	6	5	2	5	2	5	3	6	2	4	5	.059813372281087	0
555	5	7	5	4	6	5	2	3	5	5	4	5	4	7	5	6	5	4	5	5	5	5	5	5	5	6	6	5	1	5	5	4	5	6	5	4	5	4	3	3	7	4	5	5	.0600011307407102	0
539	7	7	7	4	7	7	5	2	6	6	6	7	4	7	7	6	7	2	6	7	7	6	7	6	6	6	7	6	1	7	7	4	6	6	6	3	5	4	6	2	6	7	7	6	.0603321468629925	0
717	7	6	7	5	7	6	3	3	4	4	2	7	4	7	6	5	6	3	7	7	7	4	6	2	4	5	7	2	1	6	6	6	6	7	6	3	5	2	5	4	7	3	2	6	.0607173865121758	0
300	7	7	7	3	7	7	7	1	7	7	6	7	6	7	7	7	7	4	7	7	7	6	7	6	5	6	7	5	1	6	6	6	6	7	7	4	5	2	6	6	7	7	7	7	.0608937762235328	0
245	7	6	6	5	6	6	6	3	3	5	4	7	6	7	6	7	7	5	6	6	7	7	7	5	5	6	7	4	1	6	7	7	7	7	7	3	5	3	6	1	7	6	6	7	.0631118416829157	0
320	6	6	6	3	6	6	6	3	5	5	5	5	4	6	6	4	5	2	5	6	6	6	5	3	3	6	6	4	2	4	6	3	5	5	4	4	5	2	4	4	6	3	4	4	.0632142017627548	0
154	7	6	6	4	7	7	5	4	5	4	1	7	5	7	6	6	7	1	6	7	6	5	7	5	5	6	7	4	1	5	7	5	7	7	7	4	4	2	6	7	7	4	7	7	.0635157515830313	0
547	6	7	6	4	6	6	5	3	5	5	4	6	5	7	4	5	7	4	7	7	6	5	5	5	5	6	7	5	1	5	6	4	5	6	5	7	6	2	5	6	5	5	6	5	.0643016880517265	0
81	6	6	6	3	7	6	5	1	3	5	3	6	3	6	3	5	5	2	6	5	5	6	6	2	5	6	6	4	1	5	6	3	5	6	5	3	6	1	5	7	6	6	6	5	.0669495895161472	0
214	7	6	6	4	6	6	6	4	4	5	3	5	5	6	5	6	5	1	5	5	5	7	5	3	6	6	6	4	1	5	7	5	5	7	5	4	7	1	5	5	6	6	5	6	.0672773301740719	0
569	6	7	6	4	6	5	2	4	5	5	3	7	6	7	3	7	7	4	7	6	6	5	7	5	6	5	6	4	1	5	6	5	7	7	7	4	5	3	5	6	6	6	7	6	.067329994232802	0
417	6	7	5	4	5	7	3	2	6	6	5	4	4	7	4	5	5	4	6	5	4	6	4	3	5	7	6	6	4	5	4	3	4	6	4	2	6	3	6	4	6	4	4	4	.0684575163663301	0
559	6	6	7	5	6	5	5	5	6	5	5	6	6	7	6	6	5	4	5	5	5	5	7	4	6	6	6	5	2	5	6	5	5	6	6	5	5	4	5	4	7	5	5	5	.0685581083437327	0
85	7	6	7	5	6	6	3	2	6	5	5	7	6	7	7	6	6	4	6	7	7	7	7	4	5	6	7	4	1	5	5	5	7	7	7	7	6	4	5	6	6	6	7	6	.0686712694818546	0
204	7	7	7	6	6	7	4	1	7	6	4	7	6	7	7	7	5	4	7	7	6	7	7	7	5	6	7	4	1	7	6	6	6	7	7	3	5	3	6	6	5	7	6	7	.0690332001755754	0
341	6	6	6	5	6	5	5	2	4	4	3	5	5	7	6	6	6	2	7	7	6	3	6	4	4	6	7	2	1	5	6	7	5	7	7	3	4	2	5	7	7	5	5	6	.0691673494602859	0
402	7	6	7	5	6	6	7	4	6	5	5	7	5	7	6	7	7	4	7	7	7	5	7	7	4	4	7	4	1	6	6	6	7	7	7	6	5	5	5	3	7	6	6	7	.0697353700485983	0
83	7	7	7	6	6	6	6	3	4	3	3	7	6	7	6	7	7	1	6	6	6	5	6	3	7	7	7	3	1	5	7	7	7	7	7	4	4	1	5	7	7	3	4	7	.0708038894614799	0
495	7	7	7	6	6	7	5	1	6	6	6	7	6	7	6	7	5	4	7	7	6	6	6	5	6	7	7	6	1	7	6	1	6	6	5	2	6	2	6	7	7	5	6	5	.0709691086971086	0
15	7	7	7	7	7	7	7	1	7	7	7	7	5	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	1	7	1	7	7	7	7	7	7	.0710378495429128	0
109	7	6	6	5	6	5	1	3	4	5	2	7	4	7	6	7	7	4	6	7	7	3	6	4	4	4	6	1	1	5	5	7	6	7	7	5	2	1	6	6	7	4	4	6	.0710706539078305	0
330	5	7	6	3	5	7	4	2	7	7	7	7	7	7	7	6	6	5	7	7	7	6	6	5	5	7	6	7	3	6	6	5	6	7	5	5	5	4	6	4	5	6	6	5	.0715199053061054	0
499	6	6	5	5	6	5	3	2	4	3	4	5	3	7	7	6	6	1	7	7	6	5	7	3	5	7	7	3	1	5	7	6	6	7	6	3	5	1	4	5	5	5	4	7	.0717242297303494	0
192	6	7	5	4	6	6	3	4	5	5	5	6	2	6	6	6	6	2	6	7	6	4	6	3	4	6	7	4	2	5	7	2	6	6	6	2	4	2	4	2	7	5	5	6	.071724784940941	0
142	6	6	7	4	6	6	3	1	6	6	4	6	4	6	5	5	6	4	6	6	5	4	6	5	6	7	6	4	1	6	6	6	6	6	5	7	4	1	5	7	7	5	5	6	.0718752746866547	0
418	6	5	7	5	6	6	4	4	5	6	6	7	5	7	6	6	7	1	6	6	6	5	7	6	5	6	6	4	1	7	7	4	7	7	6	1	5	1	5	7	7	2	4	7	.0720844958796497	0
573	6	7	6	3	4	6	5	1	6	5	5	5	3	6	7	6	5	3	5	5	6	7	5	4	5	6	6	5	2	6	4	4	5	7	6	2	7	2	6	4	6	4	5	6	.0722103386000668	0
98	6	6	6	5	5	6	1	2	6	4	3	6	4	6	6	5	6	4	6	6	6	5	5	3	4	6	6	3	1	6	5	2	5	6	5	1	5	1	5	6	7	2	5	6	.0727386344983828	0
34	6	7	7	4	5	6	4	1	5	6	6	6	4	7	6	6	6	4	7	5	6	7	6	6	7	7	7	7	3	7	5	5	6	6	6	7	6	4	6	4	7	7	6	7	.0733644123238084	0
127	7	6	7	5	6	5	4	2	6	6	6	7	6	7	5	5	7	4	7	7	7	6	6	6	6	6	6	6	4	7	6	1	6	7	5	4	6	4	4	4	6	6	5	5	.0734292768492602	0
335	6	6	5	4	5	7	5	2	5	5	4	4	4	6	6	5	6	3	6	7	6	5	4	4	6	7	7	4	3	5	5	2	4	7	3	3	5	1	5	2	5	5	5	4	.0736427566198009	0
