CASENO	ANDRM	FEM	MASC	ESTEEM	CONTROL	ATTROLE	SEL2	INTEXT	NEUROTIC
100	1	1	1	17	5	38	62	6	12
110	1	1	1	21	6	44	19	10	10
120	1	1	1	14	6	44	35	4	8
130	1	1	1	18	6	30	77	11	5
140	1	1	1	26	8	46	61	14	11
150	1	1	1	18	5	33	2.77143	12.5	10
160	1	1	1	16	6	30	72	11	7
170	1	1	1	16	7	41	39	14	9
180	1	1	1	20	8	28	61	4	16
190	1	1	1	20	10	39	45	6	15
200	1	1	1	16	8	36	16	13	6
210	1	1	1	26	9	35	19	13.5	14
220	1	1	1	16	5	32	22	10	2
230	1	1	1	14	6	38	2.77143	11	11
240	1	1	1	24	8	32	25	10	18
250	1	1	1	20	8	34	62	14	13
260	1	1	1	21	8	43	38	8	12
270	1	1	1	16	7	35	43	13	18
280	1	1	1	13	6	40	51	13	13
290	1	1	1	19	7	45	0	10	17
300	1	1	1	14	7	35	77	15	12
310	1	1	1	16	6	39	2.77143	7	7
320	1	1	1	20	6	37	65	8	0
330	1	1	1	11	6	38	74	17	5
340	1	1	1	22	10	28	80	7	17
350	1	1	1	16	9	31	62	17	12
360	1	1	1	21	8	36	19	8	11
370	1	1	1	20	9	38	62	12	15
380	1	1	1	27	9	34	13	3	17
390	1	1	1	22	7	36	62	11	13
400	1	1	1	17	8	25	49	11	5
410	1	1	1	29	8	38	0	14	10
420	1	1	1	14	5	44	62	12.5	1
430	1	1	1	15	5	28	53	12	7
440	1	1	1	19	8	39	2.77143	12.5	12
450	1	1	1	13	6	26	65	12	4
460	1	1	1	16	9	23	62	6	10
470	1	1	1	18	8	33	74	8	11
480	1	1	1	14	6	40	62	6	3
490	1	1	1	15	6	34	2.77143	16	5
500	1	1	1	16	9	27	13	12	23
510	1	1	1	20	8	43	2.77143	8.5	13
520	1	1	1	16	7	26	40	14	17
530	1	1	1	16	6	38	2.77143	9	3
540	1	1	1	14	7	27	35	4	11
550	1	1	1	17	5	23	2.77143	12	10
560	1	1	1	17	6	32	22	14	7
570	1	1	1	16	6	27	62	13	17
