sex	age	aware	benefit	harm	consult	discomf	intimacy	gradtrng	idno	filter_$
2	1	1	1	1	2	1	1	1	1	1
2	1	1	2	2	2	2	1	1	0	1
2	1	1	2	1	1	1	1	3	3	1
2	1	2	2	2	2	2	1	1	5	1
2	1	1	1	2	1	2	1	1	7	1
2	1	2	2	2	2	2	2	2	9	1
2	1	1	2	1	1	1	1	3	10	1
2	1	1	1	1	1	2	1	2	12	1
2	1	2	2	1	2	2	1	2	13	1
2	1	1	2	2	2	2	1	1	14	1
2	1	2	2	1	2	2	1	1	15	1
2	1	1	2	2	2	2	1	2	17	1
2	1	2	2	1	2	2	1	1	18	1
2	1	2	2	2	2	2	1	1	21	1
2	1	1	2	1	2	2	1	2	22	1
2	1	1	1	1	2	1	1	2	23	1
2	1	1	1	2	1	2	1	1	26	1
2	1	1	1	2	2	2	1	3	28	1
2	1	1	2	1	1	1	1	3	29	1
2	1	1	1	1	2	1	1	1	32	1
2	1	1	2	1	2	1	1	3	34	1
2	1	2	2	1	2	1	1	3	35	1
2	1	1	1	1	1	1	1	3	36	1
2	1	1	2	2	2	2	1	1	37	1
2	1	1	1	2	2	2	1	2	38	1
2	1	2	2	2	2	2	1	2	39	1
2	1	1	2	2	1	1	1	3	40	1
2	1	1	2	1	2	1	1	1	41	1
2	1	1	1	2	2	2	2	1	43	1
2	1	2	2	2	2	2	1	3	44	1
2	1	1	2	2	2	2	1	2	45	1
2	1	1	2	1	2	2	1	2	46	1
2	1	1	1	1	2	2	1	3	48	1
2	1	1	1	1	1	1	1	3	49	1
2	1	1	1	1	2	2	1	1	50	1
2	1	2	2	2	2	2	1	1	51	1
2	1	2	2	1	2	2	1	1	53	1
2	1	2	2	2	2	2	1	1	54	1
2	1	2	2	2	2	2	2	1	55	1
2	1	1	2	2	1	2	1	1	56	1
2	1	1	1	1	1	2	1	1	57	1
2	1	1	1	2	2	2	1	3	58	1
2	1	1	2	1	2	1	1	1	59	1
2	1	2	1	2	2	2	1	1	60	1
2	1	1	2	2	2	1	1	2	61	1
2	1	2	2	1	2	2	1	3	63	1
2	1	1	1	1	1	2	1	1	66	1
2	1	1	1	1	1	1	1	2	67	1
2	1	1	2	1	2	1	1	1	68	1
2	1	2	2	2	2	2	1	1	69	1
2	1	1	2	1	2	2	1	2	70	1
2	1	1	2	2	2	2	1	1	71	1
2	1	1	1	1	2	2	1	1	72	1
2	1	1	1	2	2	2	1	3	74	1
2	1	1	2	2	2	2	1	2	75	1
2	1	1	1	1	1	1	1	1	76	1
2	1	1	2	2	2	2	1	3	80	1
2	1	1	1	1	2	1	1	1	81	1
2	1	1	2	1	2	2	1	3	82	1
2	1	1	1	2	2	2	1	1	83	1
2	1	1	1	1	1	1	1	1	84	1
2	1	2	2	2	2	2	1	3	86	1
2	1	1	2	1	2	2	1	2	88	1
2	1	1	2	2	2	2	1	1	89	1
2	1	1	1	2	1	2	1	1	92	1
2	1	2	1	2	2	2	2	1	93	1
2	1	2	2	2	2	2	1	2	94	1
2	1	1	2	2	2	2	1	3	95	1
2	1	2	2	1	2	2	1	1	96	1
2	1	2	2	2	2	2	1	3	97	1
2	1	1	2	2	1	2	1	1	98	1
2	1	1	1	1	1	1	1	2	100	1
2	1	2	2	2	2	2	1	2	101	1
2	1	1	2	2	2	2	1	2	102	1
2	1	1	2	1	1	2	1	1	104	1
2	1	1	1	1	2	2	1	3	105	1
2	1	1	1	2	2	2	1	2	106	1
2	1	1	2	1	1	1	1	1	108	1
2	1	1	2	2	2	2	1	2	109	1
2	1	1	1	1	2	2	1	3	112	1
2	1	1	2	1	1	2	1	1	113	1
2	1	1	1	2	2	2	1	1	114	1
2	2	1	2	1	1	1	1	1	202	1
2	2	1	2	1	2	2	1	2	206	1
2	2	1	2	1	1	1	1	1	207	1
2	2	1	1	1	1	2	1	1	208	1
2	2	2	2	1	2	2	1	1	209	1
2	2	1	2	2	2	2	1	1	212	1
2	2	2	2	1	2	2	1	3	214	1
2	2	1	1	1	1	1	1	3	215	1
2	2	1	2	2	2	2	1	2	219	1
2	2	1	1	2	2	2	1	3	221	1
2	2	1	1	1	1	1	1	1	222	1
2	2	1	1	2	1	2	1	1	224	1
2	2	2	2	1	2	2	1	1	225	1
2	2	1	2	2	2	2	2	1	226	1
2	2	1	1	1	2	2	1	3	228	1
2	2	1	1	1	1	1	1	1	229	1
2	2	1	2	1	1	2	1	2	230	1
2	2	2	2	1	2	1	1	3	233	1
2	2	1	2	1	2	2	1	1	234	1
2	2	1	1	1	1	1	1	1	235	1
2	2	1	2	2	2	2	1	1	236	1
