subno	house	age	nights	nightleq	latency	annoy	site1	site2
201	1	71	10	86.5	2	3	1	0
201	1	71	11	61.5	2	3	1	0
201	1	71	12	62.1	2	3	1	0
201	1	71	13	70	4	3	1	0
201	1	71	14	83.2	3	3	1	0
201	1	71	15	82.8	4	3	1	0
201	1	71	16	88.9	3	4	1	0
201	1	71	17	88.4	2	3	1	0
201	1	71	18	66.6	4	3	1	0
201	1	71	19	61.6	2	3	1	0
201	1	71	20	68.5	2	3	1	0
201	1	71	21	67.3	3	3	1	0
201	1	71	22	86.1	2	3	1	0
201	1	71	23	69.1	2	3	1	0
201	1	71	24	65	2	0	1	0
201	1	71	25	69.5	2	0	1	0
201	1	71	26	65.3	2	0	1	0
201	1	71	28	90.1	2	4	1	0
201	1	71	29	82.1	2	4	1	0
201	1	71	30	89.8	4	4	1	0
202	1	72	2	85	5	0	1	0
202	1	72	3	87.1	3	2	1	0
202	1	72	4	64.1	3	2	1	0
202	1	72	5	65.1	2	2	1	0
202	1	72	8	68.1	2	2	1	0
202	1	72	9	71.1	3	2	1	0
202	1	72	10	86.5	2	2	1	0
202	1	72	11	61.7	2	2	1	0
202	1	72	12	62.1	1	2	1	0
202	1	72	13	70	1	2	1	0
202	1	72	14	83.2	1	2	1	0
202	1	72	15	82.8	2	2	1	0
202	1	72	16	88.9	2	2	1	0
202	1	72	17	88.4	2	2	1	0
202	1	72	18	66.6	1	2	1	0
202	1	72	19	61.7	2	2	1	0
202	1	72	20	68.5	4	2	1	0
202	1	72	21	67.4	1	2	1	0
202	1	72	22	86.1	1	2	1	0
202	1	72	23	69.1	1	2	1	0
202	1	72	24	65.1	2	0	1	0
202	1	72	25	69.6	1	0	1	0
202	1	72	26	65.3	1	0	1	0
202	1	72	28	90.1	2	3	1	0
202	1	72	29	82.1	1	3	1	0
202	1	72	30	89.8	2	2	1	0
203	2	32	2	86.3	4	2	1	0
203	2	32	3	87	2	2	1	0
203	2	32	6	83.2	3	2	1	0
203	2	32	11	85.2	2	0	1	0
203	2	32	21	91.3	3	0	1	0
203	2	32	22	91	4	0	1	0
204	2	27	3	86.5	2	0	1	0
204	2	27	6	83.1	3	0	1	0
204	2	27	8	86.1	3	0	1	0
204	2	27	11	85.2	1	0	1	0
204	2	27	16	89.7	2	0	1	0
204	2	27	21	80.2	2	0	1	0
204	2	27	22	91	2	0	1	0
204	2	27	30	90.2	3	0	1	0
205	3	61	4	76.9	1	3	1	0
205	3	61	5	74.7	1	3	1	0
205	3	61	6	77.7	1	3	1	0
205	3	61	7	90.8	1	3	1	0
205	3	61	8	92.8	1	2	1	0
205	3	61	9	95.8	1	4	1	0
205	3	61	10	94.9	2	2	1	0
205	3	61	11	74.3	1	2	1	0
205	3	61	12	74.5	1	2	1	0
205	3	61	13	74.4	1	2	1	0
205	3	61	17	99.5	1	2	1	0
205	3	61	20	102.5	2	5	1	0
205	3	61	21	105.5	2	2	1	0
205	3	61	22	108.5	1	1	1	0
205	3	61	23	111.5	2	1	1	0
205	3	61	24	76.6	2	0	1	0
205	3	61	25	82.6	3	1	1	0
205	3	61	26	73.8	1	1	1	0
205	3	61	27	72.6	1	1	1	0
205	3	61	29	94.3	1	3	1	0
205	3	61	30	96.2	2	3	1	0
205	3	61	31	89.6	1	2	1	0
205	3	61	32	73.2	1	2	1	0
205	3	61	33	73.9	1	2	1	0
205	3	61	34	74.3	1	1	1	0
205	3	61	35	79.1	1	1	1	0
205	3	61	36	90	1	1	1	0
206	3	59	2	94.5	3	2	1	0
206	3	59	3	97.5	3	4	1	0
206	3	59	4	78	2	4	1	0
206	3	59	5	74.6	2	4	1	0
206	3	59	7	90.8	2	4	1	0
206	3	59	10	94.9	3	0	1	0
206	3	59	11	74.2	3	0	1	0
206	3	59	12	74.9	2	0	1	0
206	3	59	17	77.9	2	0	1	0
206	3	59	18	80.9	2	0	1	0
206	3	59	20	83.9	2	5	1	0
206	3	59	21	86.9	3	5	1	0
206	3	59	22	89.9	2	5	1	0
206	3	59	23	92.9	2	5	1	0
206	3	59	24	76.6	2	0	1	0
206	3	59	25	82.7	2	0	1	0
206	3	59	29	94.3	2	0	1	0
206	3	59	30	96.2	2	0	1	0
206	3	59	32	73.1	2	4	1	0
206	3	59	33	74.1	3	4	1	0
206	3	59	34	74.4	2	4	1	0
206	3	59	35	79.1	2	4	1	0
212	7	31	3	64.9	1	0	1	0
212	7	31	4	71.1	2	0	1	0
212	7	31	5	85.5	2	0	1	0
212	7	31	6	81.5	1	4	1	0
212	7	31	7	61.6	1	0	1	0
212	7	31	8	77.4	1	0	1	0
212	7	31	9	68	1	0	1	0
212	7	31	11	83.1	1	0	1	0
212	7	31	13	73.9	1	0	1	0
212	7	31	15	76.9	1	0	1	0
212	7	31	17	75	1	0	1	0
212	7	31	20	78.4	1	0	1	0
212	7	31	22	76.9	1	0	1	0
212	7	31	23	69.8	1	0	1	0
212	7	31	28	76.5	1	0	1	0
213	7	31	3	64.9	1	0	1	0
213	7	31	4	74.7	2	0	1	0
213	7	31	5	85.5	1	0	1	0
213	7	31	7	61.6	1	0	1	0
213	7	31	11	80.4	1	2	1	0
213	7	31	12	70.8	1	2	1	0
213	7	31	14	64.4	4	2	1	0
213	7	31	15	67.4	1	2	1	0
213	7	31	16	67.9	1	0	1	0
213	7	31	17	74	1	0	1	0
213	7	31	20	78.7	1	1	1	0
213	7	31	21	81.7	1	4	1	0
213	7	31	22	74.6	1	0	1	0
213	7	31	23	73.2	1	0	1	0
213	7	31	25	72.3	1	0	1	0
213	7	31	28	75.3	1	0	1	0
214	8	57	2	63.5	1	0	1	0
214	8	57	3	66.7	1	0	1	0
214	8	57	4	66	2	0	1	0
214	8	57	5	73.1	1	0	1	0
214	8	57	6	78.6	1	0	1	0
214	8	57	7	83.8	1	0	1	0
214	8	57	8	78.6	1	0	1	0
214	8	57	11	66.9	1	0	1	0
214	8	57	12	68.7	1	0	1	0
214	8	57	13	80.1	1	2	1	0
214	8	57	14	70.1	2	2	1	0
214	8	57	15	69.2	1	2	1	0
214	8	57	16	64.8	1	0	1	0
214	8	57	17	67	2	0	1	0
214	8	57	18	62.5	2	0	1	0
214	8	57	19	80.8	1	0	1	0
214	8	57	20	78.2	1	0	1	0
214	8	57	21	82.6	2	0	1	0
214	8	57	22	79.5	1	1	1	0
214	8	57	23	65.6	1	0	1	0
214	8	57	24	65.1	2	0	1	0
214	8	57	25	72	1	0	1	0
214	8	57	26	79.3	1	0	1	0
214	8	57	27	71.7	1	0	1	0
214	8	57	28	66.8	1	0	1	0
215	8	71	2	63.5	1	0	1	0
215	8	71	3	66.3	1	0	1	0
215	8	71	4	65.9	1	0	1	0
215	8	71	5	65.3	4	0	1	0
215	8	71	6	78.6	1	0	1	0
215	8	71	7	83.8	1	0	1	0
215	8	71	8	78.2	4	3	1	0
215	8	71	11	66.5	2	0	1	0
215	8	71	12	68.6	1	0	1	0
215	8	71	13	80.1	1	2	1	0
215	8	71	14	70	2	2	1	0
215	8	71	15	68.7	5	2	1	0
215	8	71	16	66.6	1	0	1	0
215	8	71	17	66.9	1	0	1	0
215	8	71	18	61.9	1	0	1	0
215	8	71	19	80.8	1	0	1	0
215	8	71	20	77.6	1	0	1	0
215	8	71	21	80.6	1	2	1	0
215	8	71	22	79.5	1	2	1	0
215	8	71	23	64.1	2	0	1	0
215	8	71	24	65	1	0	1	0
215	8	71	25	72	2	0	1	0
215	8	71	26	79.3	1	0	1	0
215	8	71	27	71.4	2	0	1	0
215	8	71	28	66.8	2	0	1	0
218	10	61	4	77.7	3	2	1	0
218	10	61	5	74.8	2	2	1	0
218	10	61	6	81.2	2	3	1	0
218	10	61	10	82.7	3	0	1	0
218	10	61	11	75.3	2	0	1	0
218	10	61	12	78.9	2	3	1	0
218	10	61	14	71.9	3	0	1	0
218	10	61	15	73.8	4	0	1	0
218	10	61	16	72.5	1	1	1	0
218	10	61	19	77.3	2	3	1	0
218	10	61	20	82.1	2	3	1	0
219	10	60	4	77.5	2	5	1	0
219	10	60	5	74.6	1	5	1	0
219	10	60	6	81.2	 	4	1	0
219	10	60	11	75.4	1	0	1	0
219	10	60	12	78.9	1	5	1	0
219	10	60	14	71.7	2	0	1	0
219	10	60	19	77.3	1	3	1	0
219	10	60	23	75.6	1	4	1	0
219	10	60	25	73.2	1	4	1	0
219	10	60	27	71	1	4	1	0
220	11	39	3	87.1	5	2	1	0
220	11	39	4	94.2	3	3	1	0
220	11	39	5	94.9	2	3	1	0
220	11	39	9	89.4	2	0	1	0
220	11	39	10	72.2	1	0	1	0
220	11	39	11	88.2	1	0	1	0
220	11	39	12	73.8	1	0	1	0
220	11	39	13	71.4	1	0	1	0
220	11	39	15	74.6	1	0	1	0
220	11	39	16	74.7	2	0	1	0
220	11	39	18	90.6	2	0	1	0
220	11	39	19	92	3	0	1	0
220	11	39	23	76	2	0	1	0
220	11	39	25	71.4	3	0	1	0
220	11	39	26	75.8	3	0	1	0
221	11	42	2	72.4	1	0	1	0
221	11	42	3	85.1	1	0	1	0
221	11	42	4	94.2	1	0	1	0
221	11	42	6	85	1	0	1	0
221	11	42	10	71.2	1	0	1	0
221	11	42	11	88.3	1	0	1	0
221	11	42	12	71.6	1	0	1	0
221	11	42	13	72	1	0	1	0
221	11	42	14	73.3	1	0	1	0
