month	injury	belt
1	3637	0
2	3241	0
3	3244	0
4	3666	0
5	4557	0
6	4646	0
7	4743	0
8	4936	0
9	4102	0
10	4088	0
11	3563	0
12	4048	0
13	3212	0
14	3265	0
15	3216	0
16	3789	0
17	4306	0
18	4357	0
19	4332	0
20	4570	0
21	3884	0
22	4111	0
23	3755	0
24	4005	0
25	3198	0
26	2812	0
27	2853	0
28	3110	0
29	3814	0
30	3843	0
31	4299	0
32	4031	0
33	3659	0
34	3712	0
35	3583	0
36	4021	0
37	2929	0
38	2582	0
39	3351	0
40	3185	0
41	3934	0
42	4167	0
43	4225	0
44	3966	0
45	3816	0
46	3977	0
47	3421	0
48	4361	0
49	3318	0
50	2935	0
41	3013	0
52	3415	0
53	4063	0
54	4267	0
55	4428	0
56	4426	0
57	4104	0
58	4277	0
59	3781	0
61	4464	0
61	3079	0
62	2704	0
63	2923	0
64	3237	0
65	3749	0
66	3724	0
67	3502	1
68	3192	1
69	3016	1
70	3315	1
71	2946	1
72	2926	1
73	2114	1
74	2090	1
75	2329	1
76	2490	1
77	3164	1
78	3201	1
79	3232	1
80	3216	1
81	2914	1
82	2830	1
83	2439	1
84	2664	1
85	2167	1
86	1790	1
87	2302	1
88	2543	1
89	2975	1
90	3179	1
91	2909	1
92	3086	1
93	2895	1
94	3037	1
95	2672	1
96	2760	1
97	2424	1
98	2137	1
99	2272	1
100	2596	1
101	3254	1
102	3058	1
103	3019	1
104	3185	1
105	2850	1
106	2830	1
107	2328	1
108	2760	1
109	2155	1
110	1921	1
111	2140	1
112	2352	1
113	3064	1
114	3128	1
115	2929	1
116	2929	1
117	2767	1
118	2845	1
119	2399	1
120	3107	1
121	1978	1
122	1824	1
123	2083	1
124	2307	1
125	2741	1
126	2816	1
127	2821	1
128	2919	1
129	2486	1
130	2537	1
131	2232	1
132	2359	1
