x;ya;yb;yc;yd;xe;ye
7;5.535;0.113;7.399;3.864;13.715;5.654
8;9.942;3.77;8.546;4.942;13.715;7.072
9;4.249;7.426;8.468;7.504;13.715;8.491
10;8.656;8.792;9.616;8.581;13.715;9.909
12;10.737;12.688;10.685;12.221;13.715;9.909
13;15.144;12.889;10.607;8.842;13.715;9.909
14;13.939;14.253;10.529;9.919;13.715;11.327
14;9.45;16.545;11.754;15.86;13.715;11.327
15;7.124;15.62;11.676;13.967;13.715;12.746
17;13.693;17.206;12.745;19.092;13.715;12.746
18;18.1;16.281;13.893;17.198;13.715;12.746
19;11.285;17.647;12.59;12.334;13.715;14.164
19;21.365;14.211;15.04;19.761;13.715;15.582
20;15.692;15.577;13.737;16.382;13.715;15.582
21;18.977;14.652;14.884;18.945;13.715;17.001
23;17.69;13.947;29.431;12.187;33.281;27.435
