AGE;TARGET
22;O
46;O
21;N
52;N
31;O
69;N
54;O
51;O
27;N
45;O
47;O
37;O
54;O
23;N
36;N
37;O
63;O
58;O
29;O
53;O
41;O
20;O
23;N
31;O
56;O
56;O
40;O
26;O
67;N
25;N
46;O
36;O
33;O
40;O
37;O
61;N
21;O
24;O
25;N
33;N
42;N
46;O
27;O
45;O
21;O
30;N
66;N
38;N
44;N
27;O
28;O
31;N
54;O
21;O
48;N
27;O
20;N
57;O
45;O
27;N
50;N
37;O
33;O
29;O
22;N
29;O
57;O
21;N
25;O
78;N
42;O
25;N
23;O
21;O
27;O
22;N
24;O
36;O
25;N
35;N
52;O
35;O
45;O
61;O
30;O
49;O
52;O
24;O
23;N
28;O
35;N
53;O
39;O
42;O
22;N
26;N
32;O
51;O
32;N
51;O
53;O
48;O
31;O
21;O
39;O
45;O
38;O
36;O
21;N
35;O
31;O
29;N
28;O
23;O
21;O
28;N
27;N
50;O
24;N
60;O
61;O
48;O
35;O
50;O
31;N
38;O
21;N
22;N
25;N
57;O
69;N
56;N
80;N
56;N
62;O
26;O
44;O
29;N
58;N
53;O
52;O
22;O
32;O
21;O
51;O
55;O
56;N
61;O
25;O
53;O
49;N
33;O
50;O
35;O
58;N
42;O
28;N
23;N
50;O
24;O
39;N
54;O
48;O
61;O
25;O
76;N
36;O
33;O
48;O
56;N
38;O
26;O
30;O
33;O
32;N
33;O
48;N
29;O
63;O
55;O
51;N
48;O
49;O
57;O
78;N
66;N
28;O
62;O
39;O
55;O
54;N
57;O
46;O
52;O
56;O
29;N
31;O
23;O
26;N
63;N
35;N
30;O
46;O
58;O
51;O
67;N
62;N
62;N
43;O
62;N
56;O
56;O
71;N
30;N
62;N
52;O
37;O
39;O
42;O
50;O
60;N
57;O
55;O
31;O
37;O
60;O
60;O
49;O
20;N
55;N
62;N
24;O
26;N
52;O
26;N
48;O
57;N
54;O
40;O
63;O
48;O
49;O
18;N
41;N
29;N
37;N
24;N
70;N
29;N
50;O
23;O
19;N
23;N
24;N
40;O
62;N
55;O
47;O
38;N
25;N
53;O
47;O
54;O
35;O
69;N
33;N
28;N
34;O
26;N
24;O
21;O
24;N
29;N
25;N
27;N
78;N
29;O
27;O
42;O
24;O
23;O
40;N
28;O
39;N
21;O
18;O
34;N
21;N
22;N
24;O
63;O
63;O
54;O
32;N
54;O
42;N
37;O
23;O
29;O
21;N
25;O
23;N
26;N
29;N
21;O
53;O
24;O
21;O
34;O
51;O
22;N
25;O
38;O
31;O
22;O
20;O
28;O
23;N
49;O
22;N
52;O
22;O
25;O
38;O
36;O
21;N
19;N
20;O
33;O
20;N
20;O
21;N
21;O
26;O
20;N
22;O
57;N
21;N
20;O
24;O
27;O
27;O
31;O
22;N
21;O
28;N
48;O
22;O
22;N
19;O
20;O
23;O
27;N
75;N
20;N
22;O
20;O
51;O
22;N
28;N
23;N
20;O
22;N
20;N
40;O
23;N
50;N
20;O
19;N
69;N
29;N
19;N
64;O
18;N
24;N
19;N
31;N
20;N
37;N
58;N
44;O
55;N
20;N
22;N
20;N
20;O
27;N
22;N
20;N
21;N
23;N
25;N
27;N
18;N
40;N
18;N
29;N
22;N
21;O
30;N
33;N
62;O
20;N
54;O
30;N
25;O
85;N
23;N
34;N
28;N
39;N
26;N
27;N
20;O
27;N
50;N
24;N
26;N
32;O
26;O
19;O
48;O
44;N
23;N
19;N
19;N
22;O
41;N
30;O
22;N
18;N
61;N
33;N
34;O
29;N
54;O
19;N
20;N
43;N
58;O
24;N
25;N
42;O
60;O
25;N
58;N
19;N
59;N
30;O
19;N
73;N
30;N
23;N
22;N
19;N
24;N
54;O
29;N
30;O
27;N
26;N
19;N
37;N
26;N
79;N
26;O
34;O
22;O
22;N
36;O
42;N
40;N
21;O
26;N
22;N
22;N
24;O
26;N
28;O
29;O
19;N
23;O
34;N
27;O
22;N
19;O
19;N
25;O
26;N
36;N
18;N
25;N
35;N
24;N
21;N
46;O
34;N
21;N
45;N
18;O
25;O
20;N
20;N
22;N
24;O
22;O
29;N
38;N
22;N
19;N
19;N
27;N
20;N
22;N
28;N
47;N
52;N
18;N
47;O
26;O
23;O
20;N
18;N
30;N
34;O
22;N
32;N
26;N
20;O
31;O
18;N
18;N
19;N
50;N
25;O
40;N
62;O
54;N
21;N
44;N
19;N
26;N
23;N
52;N
32;N
21;O
37;N
44;N
18;N
21;N
24;N
22;N
26;N
20;N
24;N
35;O
22;N
23;N
20;N
24;O
49;N
23;N
23;O
24;N
23;N
30;O
40;O
22;N
58;O
42;N
30;N
44;O
30;N
48;N
43;N
37;O
33;N
30;O
34;N
35;N
49;O
43;O
42;O
40;O
31;N
37;N
46;O
47;N
49;O
38;O
58;N
26;N
45;O
47;O
40;O
44;O
38;N
47;O
47;N
40;N
41;N
32;O
38;O
31;O
46;O
39;O
36;O
43;O
46;N
32;N
42;N
40;N
32;N
44;O
47;O
73;N
41;N
30;O
34;N
37;O
40;O
36;O
34;N
45;O
40;O
30;O
51;O
43;O
54;O
30;N
42;N
47;O
46;N
53;O
42;O
47;O
40;N
46;N
44;O
46;O
35;O
32;N
33;O
45;N
26;O
36;O
39;O
54;O
30;N
47;O
32;N
36;N
35;N
32;O
34;O
39;N
32;O
46;O
42;N
26;O
39;O
59;O
31;N
31;O
46;O
41;O
52;O
57;O
41;O
31;N
35;O
52;O
39;N
49;O
48;O
46;N
37;O
45;N
39;O
45;O
37;N
36;O
40;O
46;O
43;O
26;O
42;O
43;N
48;N
41;N
39;O
29;O
32;O
46;O
36;O
36;O
27;O
46;O
55;O
40;O
29;N
32;N
45;O
45;O
51;O
36;O
28;N
37;N
41;N
40;N
36;N
42;N
46;O
39;O
37;O
51;N
41;O
43;O
36;N
32;N
44;O
36;O
48;N
45;N
58;O
39;O
35;O
44;N
32;O
26;O
42;N
43;N
42;O
38;N
35;N
44;O
24;O
31;O
24;O
44;N
46;N
41;O
31;N
38;N
48;N
42;N
45;N
57;O
45;N
43;N
46;N
40;O
42;O
42;N
34;N
52;N
53;O
38;N
43;N
40;N
32;O
33;N
36;N
41;N
45;O
55;O
40;O
61;O
42;N
40;N
37;N
42;N
46;N
32;N
40;N
43;O
59;O
49;N
58;O
58;O
44;O
51;O
43;O
43;N
46;N
44;O
36;N
35;N
38;O
45;N
39;N
37;O
42;O
66;N
50;O
46;N
38;O
39;O
39;O
41;N
44;O
37;O
39;O
38;N
47;N
40;N
41;O
45;O
31;O
38;N
41;N
49;O
47;O
31;N
32;N
39;N
45;N
38;N
39;O
41;N
41;N
45;O
44;N
43;O
43;N
42;O
32;N
56;O
34;N
56;O
45;O
44;N
36;O
48;O
35;N
39;N
43;N
41;N
53;O
37;O
63;N
42;N
42;N
43;N
44;N
35;O
44;O
37;O
30;N
43;N
37;N
45;N
46;N
40;N
33;O
30;N
40;O
38;O
47;O
35;O
43;N
44;N
40;N
39;N
35;N
53;O
41;N
36;N
53;O
33;N
40;O
40;O
47;O
47;O
30;N
46;N
35;O
46;O
38;O
37;N
34;N
37;N
56;O
47;N
41;N
40;N
38;O
41;N
36;N
54;O
42;O
40;N
41;N
46;N
43;N
37;N
42;N
39;N
44;N
39;O
36;N
39;N
42;N
36;O
38;N
54;O
38;N
48;N
45;O
41;N
44;N
42;N
43;O
42;O
44;O
59;O
34;O
42;O
43;O
36;O
39;N
36;O
45;O
44;O
41;O
41;N
42;O
50;O
40;N
33;N
41;N
36;N
44;O
39;N
44;N
43;N
35;O
39;O
35;O
38;N
42;N
37;N
41;O
33;N
43;N
47;O
39;O
52;O
47;N
40;O
44;N
42;N
39;O
42;O
34;O
34;O
36;O
47;O
37;N
46;O
41;O
31;N
42;N
43;N
40;N
48;N
33;N
53;O
45;N
37;O
44;N
47;O
41;N
36;O
40;O
53;N
39;N
34;N
46;N
40;O
34;N
42;N
35;N
52;N
47;N
39;O
40;O
40;O
46;O
44;N
40;N
46;O
45;N
43;N
37;O
40;O
36;N
50;O
41;N
38;O
43;O
52;O
34;N
36;O
40;O
39;N
37;O
43;O
40;O
46;O
39;N
45;O
42;N
42;O
38;N
37;O
35;N
38;O
33;N
43;O
46;O
49;O
36;N
39;O
33;O
38;O
48;O
48;N
35;O
47;O
47;O
49;N
38;N
44;N
39;O
35;O
36;N
39;N
45;O
37;N
41;O
35;N
38;N
43;O
32;O
38;N
40;N
42;N
39;O
38;N
38;N
47;N
44;N
41;O
37;N
47;O
37;N
53;O
56;N
