id;age;income;seniority;nbpoints;nbproducts;nbpurchases;usecredit;changeconsum;subscription;subscription2;response
1;22;740.51;6;3;10;32;61.15;1.5;1042.03;5.49;O
2;34;600.12;6;1;8;38;0;1.5;0;0;N
3;44;3947.09;8;1;8;21;0;1;0;28.09;N
4;25;679.93;9;1;11;15;0;0.92;0;106.63;N
5;58;2098.15;19;3;15;54;95.28;1.07;2674.86;15.2;O
6;44;338.24;13;1;9;8;0;1.57;0;0;N
7;46;1882.2;21;2;9;26;0;1.83;0;8;O
8;44;1246.64;14;2;10;30;76.22;1.22;1931.62;21.96;N
9;20;767.19;4;1;8;22;0;1;0;18.57;N
10;38;869.53;21;1;4;18;0;1;0;0;N
11;25;550.05;9;1;9;35;0;1.11;0;60.81;N
12;40;1949.4;21;1;9;47;0;1.13;0;49.25;N
13;64;51.39;21;0;4;7;0;1;0;44.15;N
14;43;943.44;7;1;6;15;0;1;0;0;N
15;31;977.74;11;1;10;25;0;1.38;0;50.88;O
16;44;1519.73;9;1;7;39;87.37;0.75;67.92;0;O
17;26;1625.05;8;2;10;40;0;0.82;0;91.57;N
18;39;1048.64;7;1;5;25;0;1;0;0;N
19;45;2695.83;21;1;5;37;0;1;0;0;N
20;54;3313.28;21;1;14;19;0;1.08;0;43.55;O
21;51;662.25;19;1;6;11;0;1;0;58.67;O
22;30;597.58;14;1;7;25;0;2.25;0;2.2;N
23;34;1279.9;11;0;7;10;0;1;0;5.1;N
24;40;101.37;9;0;1;4;0;1;0;0;N
25;50;1307.46;17;2;14;31;60.98;1.25;1485.82;40.26;N
26;45;1700.86;21;2;13;21;26.49;1.27;41.63;10.79;O
27;38;3561.67;20;1;5;28;216.27;1.5;4630.8;0;N
28;47;806.72;14;2;7;20;60.98;1;1248.04;10.69;O
29;37;1802.66;17;1;9;23;0;1.13;0;36.36;O
30;32;1077.66;16;1;6;33;0;0.83;0;0;N
31;37;785.53;21;1;11;21;0;1.2;0;62.52;O
32;39;1721.1;21;1;4;20;0;1.67;0;0;N
33;34;55.82;18;1;5;7;0;1;0;0;N
34;39;143.33;11;1;8;18;0;0.88;0;0;N
35;69;1024.93;9;1;12;26;0;1.3;0;57.07;N
36;48;1376.95;9;1;8;38;0;1.14;0;0;N
37;32;6551.43;8;3;10;50;0;1.11;0;0;N
38;47;4356.86;7;1;5;59;0;1;0;0;N
39;78;1618.4;19;1;10;16;0;1.22;0;69.24;N
40;39;838.95;21;1;9;32;0;1;0;93.99;N
41;64;1760.52;14;1;8;13;0;1.14;0;43.22;N
42;36;292.87;8;1;5;9;0;1;0;0;N
43;65;1356.19;21;1;10;13;0;1;0;62.27;N
44;32;1694.47;12;1;9;46;0;1;0;33.23;N
45;38;761.06;9;1;8;34;0;1.14;0;10.77;N
46;34;650.23;10;1;9;31;0;1.57;0;38.36;N
47;52;554.41;21;1;7;11;0;1;0;60.46;N
48;30;1356.58;14;1;8;21;0;0.88;0;22.45;N
49;19;98.86;3;2;8;9;0;2;0;78.53;N
50;65;893.06;17;1;12;18;0;1.09;0;45.61;N
51;33;202.32;15;1;4;3;0;1;0;0;N
52;54;1741.42;21;1;7;30;0;1;0;33.24;N
53;72;674.66;15;1;4;6;0;1;0;65.42;N
54;30;945.41;11;2;12;21;52.08;1.56;721.18;49.87;O
55;37;358.11;11;1;6;18;0;1.2;0;27.72;N
56;36;679.86;7;1;5;25;0;1;0;30.7;N
57;35;1243.43;19;1;3;27;0;1;0;0;N
58;49;630.65;21;1;10;38;0;1.5;0;27.73;O
59;32;894.42;14;2;10;31;63.22;1.22;1210.7;34.31;N
60;37;1240.86;12;2;13;37;35.67;1.17;484.2;0;N
61;37;1245.4;19;2;20;23;0.76;1.16;0;74.3;O
62;29;859.06;13;1;8;15;0;1;0;18.62;N
63;30;594.48;14;2;12;19;0;1.18;0;80.57;N
64;43;683.03;18;2;11;25;60.98;1;693.37;52.13;O
65;63;1115.33;21;2;12;22;847.56;1.3;9803.39;42.05;O
66;58;2586.87;15;2;13;25;38.11;1.08;368.98;5.05;O
67;29;663.72;9;1;9;38;52.9;1;301.98;73.36;N
68;42;1511.79;8;2;10;39;2.03;1.38;0;0;O
69;23;826.14;7;2;11;23;45.73;1;728.5;185.39;N
70;24;1477.18;7;1;7;45;0;1.6;0;13.37;N
71;40;1459.98;21;2;11;30;89.92;1.75;2093.74;0;O
