X;Y;N
57.32;59.53;1
57.5;61;1
57.6;58.54;1
57.63;62.76;1
57.94;61.03;1
58.06;60.1;1
58.11;57.68;1
58.14;61.71;1
58.14;63.42;1
58.17;58.62;1
58.23;59.3;1
58.35;57.09;1
58.45;62.37;1
58.82;64.16;1
58.85;60.24;1
58.88;59.47;1
58.94;62.96;1
58.99;61.26;1
59.08;58.56;1
59.25;57.74;1
59.25;62.11;1
59.33;56.41;1
59.36;63.42;1
59.53;58.99;1
59.53;64.92;1
59.67;57.23;1
59.73;59.84;1
59.76;62.76;1
59.82;58.16;1
59.82;60.64;1
59.99;55.9;1
59.99;64.04;1
60.07;61.52;1
60.19;63.36;1
60.21;56.8;1
60.24;65.18;1
60.33;57.54;1
60.38;58.71;1
60.47;61.88;1
60.5;60.52;1
60.75;55.58;1
60.78;58.17;1
60.81;64.5;1
60.95;56.46;1
60.95;65.38;1
61.04;63.7;1
61.07;60.1;1
61.18;61.15;1
61.21;59.53;1
61.21;61.17;1
61.21;62.65;1
61.24;61.12;1
61.52;58;1
61.52;64.72;1
61.61;63.96;1
61.72;60.18;1
61.72;62.93;1
61.78;65.53;1
61.83;56.92;1
61.86;56.09;1
61.86;60.92;1
61.92;55.38;1
61.97;60.78;1
62.17;57.6;1
62.29;59.33;1
62.31;60.24;1
62.34;64.75;1
62.34;64.95;1
62.4;60.41;1
62.48;64.01;1
62.5;62;1
62.57;56.69;1
62.68;61.43;1
62.74;59.78;1
62.83;55.98;1
62.85;65.55;1
63;58;1
63;58.5;1
63.02;55.33;1
63.02;62.96;1
63.05;57.4;1
63.39;63.81;1
63.39;64.67;1
63.42;56.69;1
63.42;64.89;1
63.5;60;1
63.54;61.32;1
63.54;62.28;1
63.73;56.07;1
63.79;55.38;1
63.79;62.79;1
63.85;57.58;1
63.9;62.68;1
63.93;65.29;1
64;58;1
64;58.5;1
64;60;1
64;60;1
64.02;57.03;1
64.05;61.52;1
64.13;61.52;1
64.22;56.43;1
64.24;63.59;1
64.27;64.33;1
64.44;60.72;1
64.59;59.05;1
64.61;59.76;1
64.64;58.34;1
64.67;55.78;1
64.67;62.4;1
64.84;64.95;1
64.95;56.97;1
64.95;57.54;1
65.04;61.66;1
65.04;63.39;1
65.21;56.21;1
65.35;59.02;1
65.38;64.3;1
65.44;60.69;1
65.49;58.25;1
65.49;62.42;1
65.55;59.9;1
65.66;57.77;1
65.75;58.96;1
65.89;56.97;1
65.92;58.88;1
65.95;61.43;1
65.989;60.65;1
66;63.7;1
66.09;59.64;1
66.2;60.61;1
66.2;63.05;1
66.23;58.45;1
66.46;57.6;1
66.63;62.28;1
66.88;59.3;1
66.91;60.64;1
66.91;61.63;1
66.97;58.73;1
67.03;59.98;1
69.06;60.1;2
69.14;61.71;2
69.14;63.42;2
69.45;62.37;2
69.82;64.16;2
69.85;60.24;2
69.94;62.96;2
69.99;61.26;2
70.25;62.11;2
70.36;63.42;2
70.53;64.92;2
70.76;62.76;2
70.82;60.64;2
70.99;64.04;2
71.07;61.52;2
71.19;63.36;2
71.47;61.88;2
71.5;60.52;2
71.81;64.5;2
72.04;63.7;2
72.07;60.1;2
72.18;61.15;2
72.21;61.17;2
72.21;62.65;2
72.24;61.12;2
72.52;64.72;2
72.61;63.96;2
72.72;60.18;2
72.72;62.93;2
72.86;60.92;2
72.97;60.78;2
73.31;60.24;2
73.34;64.75;2
73.34;64.95;2
73.4;60.41;2
73.48;64.01;2
73.5;62;2
73.68;61.43;2
74.02;62.96;2
74.39;63.81;2
74.39;64.67;2
74.42;64.89;2
74.5;60;2
74.54;61.32;2
74.54;62.28;2
74.79;62.79;2
74.9;62.68;2
75;60;2
75;60;2
75.05;61.52;2
75.13;61.52;2
75.24;63.59;2
75.27;64.33;2
75.44;60.72;2
75.67;62.4;2
75.84;64.95;2
76.04;61.66;2
76.04;63.39;2
76.38;64.3;2
76.44;60.69;2
76.49;62.42;2
76.95;61.43;2
76.989;60.65;2
77;63.7;2
77.2;60.61;2
77.2;63.05;2
77.63;62.28;2
77.91;60.64;2
77.91;61.63;2
38;60;3
40;60;3
42;60;3
44;60;3
46;60;3
48;60;3
50;60;3
52;60;3
54;60;3
56;60;3
32.32;59.53;4
32.5;61;4
32.6;58.54;4
32.63;62.76;4
32.94;61.03;4
33.06;60.1;4
33.11;57.68;4
33.14;61.71;4
33.14;63.42;4
33.17;58.62;4
33.23;59.3;4
33.35;57.09;4
33.45;62.37;4
33.82;64.16;4
33.85;60.24;4
33.88;59.47;4
33.94;62.96;4
33.99;61.26;4
34.08;58.56;4
34.25;57.74;4
34.25;62.11;4
34.33;56.41;4
34.36;63.42;4
34.53;58.99;4
34.53;64.92;4
34.67;57.23;4
34.73;59.84;4
34.76;62.76;4
34.82;58.16;4
34.82;60.64;4
34.99;55.9;4
34.99;64.04;4
35.07;61.52;4
35.19;63.36;4
35.21;56.8;4
35.24;65.18;4
35.33;57.54;4
35.38;58.71;4
35.47;61.88;4
35.5;60.52;4
35.75;55.58;4
35.78;58.17;4
35.81;64.5;4
35.95;56.46;4
35.95;65.38;4
36.04;63.7;4
36.07;60.1;4
36.18;61.15;4
36.21;59.53;4
36.21;61.17;4
36.21;62.65;4
36.24;61.12;4
36.52;58;4
36.52;64.72;4
36.61;63.96;4
36.72;60.18;4
36.72;62.93;4
36.78;65.53;4
36.83;56.92;4
36.86;56.09;4
36.86;60.92;4
36.92;55.38;4
36.97;60.78;4
37.17;57.6;4
37.29;59.33;4
37.31;60.24;4
37.34;64.75;4
37.34;64.95;4
37.4;60.41;4
37.48;64.01;4
37.5;62;4
37.57;56.69;4
37.68;61.43;4
37.74;59.78;4
37.83;55.98;4
37.85;65.55;4
38;58;4
38;58.5;4
38.02;55.33;4
38.02;62.96;4
38.05;57.4;4
38.39;63.81;4
38.39;64.67;4
38.42;56.69;4
38.42;64.89;4
38.5;60;4
38.54;61.32;4
38.54;62.28;4
38.73;56.07;4
38.79;55.38;4
38.79;62.79;4
38.85;57.58;4
38.9;62.68;4
38.93;65.29;4
39;58;4
39;58.5;4
39;60;4
39;60;4
39.02;57.03;4
39.05;61.52;4
39.13;61.52;4
39.22;56.43;4
39.24;63.59;4
39.27;64.33;4
39.44;60.72;4
39.59;59.05;4
39.61;59.76;4
39.64;58.34;4
39.67;55.78;4
39.67;62.4;4
39.84;64.95;4
39.95;56.97;4
39.95;57.54;4
40.04;61.66;4
40.04;63.39;4
40.21;56.21;4
40.35;59.02;4
40.38;64.3;4
40.44;60.69;4
40.49;58.25;4
40.49;62.42;4
40.55;59.9;4
40.66;57.77;4
40.75;58.96;4
40.89;56.97;4
40.92;58.88;4
40.95;61.43;4
40.989;60.65;4
41;63.7;4
41.09;59.64;4
41.2;60.61;4
41.2;63.05;4
41.23;58.45;4
41.46;57.6;4
41.63;62.28;4
41.88;59.3;4
41.91;60.64;4
41.91;61.63;4
41.97;58.73;4
42.03;59.98;4
