NAME;POP87;BIRTH;MORTALITY;GROWTH;POP00;POP20;INFANT_MORTALITY;FERTILITY;AGE15;AGE65;EXPECTANCY;URBAN;ENERGY;GNP;SURFACE;CULTURE;PASTURAGE;FOREST
AFGANISTHAN;14.2;48;22;2.6;24.5;39.1;182;7.6;46;4;39;16;2;160;647500;12;46;3
ALBANIA;3.1;26;6;2;3.8;4.6;43;3.3;35;5;71;34;39;900;28749;25;14;36
ALGERIA;23.5;42;10;3.2;33.7;49.4;81;6.4;46;4;60;43;21;2530;2381740.69;3;13;2
ANGOLA;8;47;22;2.5;11.5;19.1;143;6.4;45;3;43;25;4;500;1246699.09;3;23;43
ANTIGUA ET BARBUDA;0.1;15;5;1;0.1;0.1;10;1.7;27;6;72;34;;2030;440.3;18;7;16
ARGENTINA;31.5;24;8;1.6;37.2;45.6;35.3;3.3;31;9;70;84;50;2130;2766889.23;13;52;22
AUSTRALIA;16.2;16;8;0.8;17.9;20;9.9;2;24;10;76;86;180;10840;7686850.64;6;57;14
AUSTRIA;7.6;12;12;0;7.5;7;11.2;1.5;18;14;74;55;117;9150;83851.25;18;24;38
BAHAMAS;0.2;23;6;1.8;0.3;0.4;26.7;2.9;38;4;70;75;;7150;13939.38;1;0;23
BAHRAIN;0.4;32;5;2.8;0.7;1;32;4.6;41;2;67;81;388;9560;619.01;3;6;0
BANGLADESH;107.1;44;17;2.7;144.9;201.5;140;6.2;44;4;50;13;2;150;143998.82;63;4;15
BARBADOS;0.3;17;8;0.9;0.4;0.5;13.1;2;30;11;73;32;36;4680;429.94;77;9;0
BELGIUM;9.9;12;11;0;9.8;9;9.4;1.5;19;14;73;95;145;8450;30429.91;25;20;21
BELIZE;0.2;33;6;2.7;0.2;0.3;27;4.5;46;5;70;52;;1130;22960.35;2;2;44
BENIN;4.3;51;20;3;7.1;14.2;115;7.1;49;5;45;39;1;270;112620.97;16;4;33
BHUTAN;1.5;38;18;2;1.9;2.5;142;5.5;40;3;46;5;;160;47000.73;2;5;70
BOLIVIA;6.5;40;14;2.6;9.2;13.2;127;5.1;43;3;53;48;10;470;1098579.58;3;24;51
BOTSWANA;1.2;48;14;3.4;1.8;3.4;70;6.7;48;4;58;22;;840;600369.77;2;73;2
BRAZIL;141.5;29;8;2.1;179.5;233.8;63;3.5;36;4;65;71;19;1640;8511970.25;9;19;66
BRUNEI;0.2;30;4;2.6;0.3;0.4;12;3.6;38;3;62;64;;17580;5770.52;1;1;49
BULGARIA;9;13;12;0.1;9.4;9.5;15.8;2;22;11;72;66;166;6295;110908.98;37;18;35
BURKINA FASO;7.3;48;20;2.8;10.5;18.2;146;6.5;44;3;46;8;1;140;274200.71;10;36;2
BURMA;38.8;34;13;2.1;49.8;67.5;103;4.4;39;4;53;24;2;190;676549.44;15;1;48
BURUNDI;5;47;18;2.9;7.2;11;119;6.4;44;4;48;5;;240;27829.55;47;33;2
CAMEROON;10.3;43;16;2.7;14.5;23.5;103;5.9;43;4;51;42;13;810;475441.12;15;17;53
