ID;Accounts;Credit_duration;Credit_history;Purpose_credit;Credit_amount;Savings;Seniority_employment;Installment_rate;Marital_status;Guarantees;Seniority_residence;Assets;Age;Other_credits;Status_residence;Nb_credits;Job;Number_of_dependents;Telephone;Credit
1;1;6;A34;A43;1169;0;5;4;A93;A101;4;A121;67;A143;A152;2;A173;1;A192;1
2;2;48;A32;A43;5951;1;3;2;A92;A101;2;A121;22;A143;A152;1;A173;1;A191;2
3;4;12;A34;A46;2096;1;4;2;A93;A101;3;A121;49;A143;A152;1;A172;2;A191;1
4;1;42;A32;A42;7882;1;4;2;A93;A103;4;A122;45;A143;A153;1;A173;2;A191;1
5;1;24;A33;A40;4870;1;3;3;A93;A101;4;A124;53;A143;A153;2;A173;2;A191;2
6;4;36;A32;A46;9055;0;3;2;A93;A101;4;A124;35;A143;A153;1;A172;2;A192;1
7;4;24;A32;A42;2835;3;5;3;A93;A101;4;A122;53;A143;A152;1;A173;1;A191;1
8;2;36;A32;A41;6948;1;3;2;A93;A101;2;A123;35;A143;A151;1;A174;1;A192;1
9;4;12;A32;A43;3059;4;4;2;A91;A101;4;A121;61;A143;A152;1;A172;1;A191;1
10;2;30;A34;A40;5234;1;1;4;A94;A101;2;A123;28;A143;A152;2;A174;1;A191;2
11;2;12;A32;A40;1295;1;2;3;A92;A101;1;A123;25;A143;A151;1;A173;1;A191;2
12;1;48;A32;A49;4308;1;2;3;A92;A101;4;A122;24;A143;A151;1;A173;1;A191;2
13;2;12;A32;A43;1567;1;3;1;A92;A101;1;A123;22;A143;A152;1;A173;1;A192;1
14;1;24;A34;A40;1199;1;5;4;A93;A101;4;A123;60;A143;A152;2;A172;1;A191;2
15;1;15;A32;A40;1403;1;3;2;A92;A101;4;A123;28;A143;A151;1;A173;1;A191;1
16;1;24;A32;A43;1282;2;3;4;A92;A101;2;A123;32;A143;A152;1;A172;1;A191;2
17;4;24;A34;A43;2424;0;5;4;A93;A101;4;A122;53;A143;A152;2;A173;1;A191;1
18;1;30;A30;A49;8072;0;2;2;A93;A101;3;A123;25;A141;A152;3;A173;1;A191;1
19;2;24;A32;A41;12579;1;5;4;A92;A101;2;A124;44;A143;A153;1;A174;1;A192;2
20;4;24;A32;A43;3430;3;5;3;A93;A101;2;A123;31;A143;A152;1;A173;2;A192;1
21;4;9;A34;A40;2134;1;3;4;A93;A101;4;A123;48;A143;A152;3;A173;1;A192;1
22;1;6;A32;A43;2647;3;3;2;A93;A101;3;A121;44;A143;A151;1;A173;2;A191;1
23;1;10;A34;A40;2241;1;2;1;A93;A101;3;A121;48;A143;A151;2;A172;2;A191;1
24;2;12;A34;A41;1804;2;2;3;A93;A101;4;A122;44;A143;A152;1;A173;1;A191;1
25;4;10;A34;A42;2069;0;3;2;A94;A101;1;A123;26;A143;A152;2;A173;1;A191;1
26;1;6;A32;A42;1374;1;3;1;A93;A101;2;A121;36;A141;A152;1;A172;1;A192;1
27;4;6;A30;A43;426;1;5;4;A94;A101;4;A123;39;A143;A152;1;A172;1;A191;1
28;3;12;A31;A43;409;4;3;3;A92;A101;3;A121;42;A143;A151;2;A173;1;A191;1
29;2;7;A32;A43;2415;1;3;3;A93;A103;2;A121;34;A143;A152;1;A173;1;A191;1
30;1;60;A33;A49;6836;1;5;3;A93;A101;4;A124;63;A143;A152;2;A173;1;A192;2
31;2;18;A32;A49;1913;4;2;3;A94;A101;3;A121;36;A141;A152;1;A173;1;A192;1
32;1;24;A32;A42;4020;1;3;2;A93;A101;2;A123;27;A142;A152;1;A173;1;A191;1
33;2;18;A32;A40;5866;2;3;2;A93;A101;2;A123;30;A143;A152;2;A173;1;A192;1
34;4;12;A34;A49;1264;0;5;4;A93;A101;4;A124;57;A143;A151;1;A172;1;A191;1
35;3;12;A32;A42;1474;1;2;4;A92;A101;1;A122;33;A141;A152;1;A174;1;A192;1
36;2;45;A34;A43;4746;1;2;4;A93;A101;2;A122;25;A143;A152;2;A172;1;A191;2
37;4;48;A34;A46;6110;1;3;1;A93;A101;3;A124;31;A141;A153;1;A173;1;A192;1
38;3;18;A32;A43;2100;1;3;4;A93;A102;2;A121;37;A142;A152;1;A173;1;A191;2
39;3;10;A32;A44;1225;1;3;2;A93;A101;2;A123;37;A143;A152;1;A173;1;A192;1
40;2;9;A32;A43;458;1;3;4;A93;A101;3;A121;24;A143;A152;1;A173;1;A191;1
41;4;30;A32;A43;2333;3;5;4;A93;A101;2;A123;30;A141;A152;1;A174;1;A191;1
42;2;12;A32;A43;1158;3;3;3;A91;A101;1;A123;26;A143;A152;1;A173;1;A192;1
43;2;18;A33;A45;6204;1;3;2;A93;A101;4;A121;44;A143;A152;1;A172;2;A192;1
44;1;30;A34;A41;6187;2;4;1;A94;A101;4;A123;24;A143;A151;2;A173;1;A191;1
45;1;48;A34;A41;6143;1;5;4;A92;A101;4;A124;58;A142;A153;2;A172;1;A191;2
46;4;11;A34;A40;1393;1;2;4;A92;A101;4;A123;35;A143;A152;2;A174;1;A191;1
47;4;36;A32;A43;2299;3;5;4;A93;A101;4;A123;39;A143;A152;1;A173;1;A191;1
48;1;6;A32;A41;1352;3;1;1;A92;A101;2;A122;23;A143;A151;1;A171;1;A192;1
49;4;11;A34;A40;7228;1;3;1;A93;A101;4;A122;39;A143;A152;2;A172;1;A191;1
50;4;12;A32;A43;2073;2;3;4;A92;A102;2;A121;28;A143;A152;1;A173;1;A191;1
51;2;24;A33;A42;2333;0;2;4;A93;A101;2;A122;29;A141;A152;1;A172;1;A191;1
52;2;27;A33;A41;5965;1;5;1;A93;A101;2;A123;30;A143;A152;2;A174;1;A192;1
53;4;12;A32;A43;1262;1;3;3;A93;A101;2;A123;25;A143;A152;1;A173;1;A191;1
54;4;18;A32;A41;3378;0;3;2;A93;A101;1;A122;31;A143;A152;1;A173;1;A192;1
55;2;36;A33;A40;2225;1;5;4;A93;A101;4;A124;57;A141;A153;2;A173;1;A192;2
56;4;6;A31;A40;783;0;3;1;A93;A103;2;A121;26;A142;A152;1;A172;2;A191;1
57;2;12;A32;A43;6468;0;1;2;A93;A101;1;A124;52;A143;A152;1;A174;1;A192;2
58;4;36;A34;A43;9566;1;3;2;A92;A101;2;A123;31;A142;A152;2;A173;1;A191;1
59;3;18;A32;A40;1961;1;5;3;A92;A101;2;A123;23;A143;A152;1;A174;1;A191;1
60;1;36;A34;A42;6229;1;2;4;A92;A102;4;A124;23;A143;A151;2;A172;1;A192;2
61;2;9;A32;A49;1391;1;3;2;A94;A101;1;A121;27;A141;A152;1;A173;1;A192;1
62;2;15;A34;A43;1537;0;5;4;A93;A103;4;A121;50;A143;A152;2;A173;1;A192;1
63;2;36;A30;A49;1953;1;5;4;A93;A101;4;A124;61;A143;A153;1;A174;1;A192;2
64;2;48;A30;A49;14421;1;3;2;A93;A101;2;A123;25;A143;A152;1;A173;1;A192;2
65;4;24;A32;A43;3181;1;2;4;A92;A101;4;A122;26;A143;A152;1;A173;1;A192;1
66;4;27;A32;A45;5190;0;5;4;A93;A101;4;A122;48;A143;A152;4;A173;2;A192;1
67;4;12;A32;A43;2171;1;2;2;A92;A101;2;A123;29;A141;A152;1;A173;1;A191;1
68;2;12;A32;A40;1007;4;3;4;A94;A101;1;A121;22;A143;A152;1;A173;1;A191;1
69;4;36;A32;A46;1819;1;3;4;A93;A101;4;A124;37;A142;A153;1;A173;1;A192;2
70;4;36;A32;A43;2394;0;3;4;A92;A101;4;A123;25;A143;A152;1;A173;1;A191;1
71;4;36;A32;A41;8133;1;3;1;A92;A101;2;A122;30;A141;A152;1;A173;1;A191;1
72;4;7;A34;A43;730;0;5;4;A93;A101;2;A122;46;A143;A151;2;A172;1;A192;1
73;1;8;A34;A41;1164;1;5;3;A93;A101;4;A124;51;A141;A153;2;A174;2;A192;1
74;2;42;A34;A49;5954;1;4;2;A92;A101;1;A121;41;A141;A152;2;A172;1;A191;1
