X;Y;N
34.79;53.68;1
34.93;54.22;1
35;53;1
36.24;53.68;1
35;53;1
35.5;53;1
35.81;53.43;1
35.98;53.99;1
35.58;54.33;1
35.18;54.96;1
35.58;55.41;1
35.84;54.93;1
36.18;54.45;1
36.38;53.97;1
36.6;53.45;1
37.17;53.71;1
36.97;54.19;1
36.57;54.73;1
36.26;54.5;1
36.6;54.73;1
36.26;55.33;1
36.86;54.28;1
37.06;54.16;1
36.6;54.31;1
37.03;53.82;1
37.43;54.31;1
37.14;54.76;1
46;54;2
46.76;56.8;2
47.13;56.46;2
47.36;55.9;2
47.53;55.27;2
47.19;54.73;2
46.91;54.22;2
46.25;54.22;2
46.59;54.87;2
46.93;55.36;2
46.76;55.84;2
46.37;56.21;2
46.37;55.47;2
46.14;54.85;2
45.54;54.5;2
45.71;55.07;2
45.71;55.61;2
46;56.01;2
46.37;56.12;2
46.2;56.63;2
46.05;56.46;2
47.5;68;3
47.7;68.33;3
48.13;67.99;3
48.18;67.11;3
47.7;67.45;3
47.64;66.71;3
47.96;66.31;3
47.3;66.17;3
47.5;65.74;3
46.93;65.46;3
46.51;65.63;3
46.62;66.17;3
47.1;66.62;3
46.96;67.25;3
46.54;66.97;3
46.4;67.62;3
46.93;68.1;3
46.96;68.61;3
46.45;68.47;3
46.4;67.67;3
46.05;67.08;3
45.91;66.48;3
46.17;66.54;3
45.97;65.94;3
46.14;65.43;3
45.6;65.55;3
45.46;66.06;3
45.34;66.77;3
45.43;67.33;3
45.77;67.84;3
46.31;68.38;3
41.5;62;4
41.85;65.55;4
42.5;60;4
42.93;65.29;4
43;60;4
43.84;64.95;4
44.38;64.3;4
45;63.7;4
45.2;63.05;4
45.63;62.28;4
45.91;61.63;4
45.91;60.64;4
46.03;59.98;4
45.88;59.3;4
45.97;58.73;4
45.46;57.6;4
44.89;56.97;4
44.21;56.21;4
43.67;55.78;4
42.79;55.38;4
42.02;55.33;4
40.92;55.38;4
39.75;55.58;4
38.99;55.9;4
38.33;56.41;4
37.35;57.09;4
37.11;57.68;4
36.6;58.54;4
36.32;59.53;4
36.63;62.76;4
37.14;63.42;4
37.82;64.16;4
38.53;64.92;4
39.24;65.18;4
39.95;65.38;4
40.78;65.53;4
41.34;64.95;4
42.39;64.67;4
43.27;64.33;4
44.04;63.39;4
44.49;62.42;4
44.95;61.43;4
44.989;60.65;4
45.2;60.61;4
45.09;59.64;4
44.92;58.88;4
45.23;58.45;4
44.66;57.77;4
43.95;56.97;4
43.22;56.43;4
42.73;56.07;4
41.83;55.98;4
40.86;56.09;4
39.95;56.46;4
39.21;56.8;4
38.67;57.23;4
38.25;57.74;4
37.17;58.62;4
37.23;59.3;4
37.06;60.1;4
36.94;61.03;4
37.14;61.71;4
37.45;62.37;4
37.94;62.96;4
38.36;63.42;4
38.99;64.04;4
39.81;64.5;4
40.52;64.72;4
41.34;64.75;4
42.42;64.89;4
43.24;63.59;4
43.67;62.4;4
44.04;61.66;4
44.44;60.69;4
44.55;59.9;4
44.75;58.96;4
44.35;59.02;4
44.49;58.25;4
43.95;57.54;4
43.02;57.03;4
42.42;56.69;4
41.57;56.69;4
40.83;56.92;4
39.33;57.54;4
38.82;58.16;4
38.08;58.56;4
37.88;59.47;4
37.85;60.24;4
37.99;61.26;4
38.25;62.11;4
38.76;62.76;4
39.19;63.36;4
40.04;63.7;4
40.61;63.96;4
41.48;64.01;4
42.39;63.81;4
42.9;62.68;4
43.13;61.52;4
43.44;60.72;4
43.61;59.76;4
43.59;59.05;4
43.64;58.34;4
42.85;57.58;4
42.05;57.4;4
41.17;57.6;4
40.52;58;4
39.78;58.17;4
39.38;58.71;4
38.53;58.99;4
38.73;59.84;4
38.82;60.64;4
39.07;61.52;4
39.47;61.88;4
40.21;62.65;4
40.72;62.93;4
42.02;62.96;4
42.79;62.79;4
42.54;62.28;4
43.05;61.52;4
42.54;61.32;4
41.68;61.43;4
40.86;60.92;4
40.21;61.17;4
40.72;60.18;4
41.31;60.24;4
41.74;59.78;4
40.07;60.1;4
40.18;61.15;4
40.24;61.12;4
41.4;60.41;4
40.21;59.53;4
41.29;59.33;4
39.5;60.52;4
40.97;60.78;4
42;58;4
42;58.5;4
43;58;4
43;58.5;4
43;60;4
36.5;61;4
