iris;species;se_l;se_w;pe_l;pe_w
i001_SETOSA;SETOSA;50;33;14;2
i002_VIRGINICA;VIRGINICA;64;28;56;22
i003_VERSICOLOR;VERSICOLOR;65;28;46;15
i004_VIRGINICA;VIRGINICA;67;31;56;24
i005_VIRGINICA;VIRGINICA;63;28;51;15
i006_SETOSA;SETOSA;46;34;14;3
i007_VIRGINICA;VIRGINICA;69;31;51;23
i008_VERSICOLOR;VERSICOLOR;62;22;45;15
i009_VERSICOLOR;VERSICOLOR;59;32;48;18
i010_SETOSA;SETOSA;46;36;10;2
i011_VERSICOLOR;VERSICOLOR;61;30;46;14
i012_VERSICOLOR;VERSICOLOR;60;27;51;16
i013_VIRGINICA;VIRGINICA;65;30;52;20
i014_VERSICOLOR;VERSICOLOR;56;25;39;11
i015_VIRGINICA;VIRGINICA;65;30;55;18
i016_VIRGINICA;VIRGINICA;58;27;51;19
i017_VIRGINICA;VIRGINICA;68;32;59;23
i018_SETOSA;SETOSA;51;33;17;5
i019_VERSICOLOR;VERSICOLOR;57;28;45;13
i020_VIRGINICA;VIRGINICA;62;34;54;23
i021_VIRGINICA;VIRGINICA;77;38;67;22
i022_VERSICOLOR;VERSICOLOR;63;33;47;16
i023_VIRGINICA;VIRGINICA;67;33;57;25
i024_VIRGINICA;VIRGINICA;76;30;66;21
i025_VIRGINICA;VIRGINICA;49;25;45;17
i026_SETOSA;SETOSA;55;35;13;2
i027_VIRGINICA;VIRGINICA;67;30;52;23
i028_VERSICOLOR;VERSICOLOR;70;32;47;14
i029_VERSICOLOR;VERSICOLOR;64;32;45;15
i030_VERSICOLOR;VERSICOLOR;61;28;40;13
i031_SETOSA;SETOSA;48;31;16;2
i032_VIRGINICA;VIRGINICA;59;30;51;18
i033_VERSICOLOR;VERSICOLOR;55;24;38;11
i034_VIRGINICA;VIRGINICA;63;25;50;19
i035_VIRGINICA;VIRGINICA;64;32;53;23
i036_SETOSA;SETOSA;52;34;14;2
i037_SETOSA;SETOSA;49;36;14;1
i038_VERSICOLOR;VERSICOLOR;54;30;45;15
i039_VIRGINICA;VIRGINICA;79;38;64;20
i040_SETOSA;SETOSA;44;32;13;2
i041_VIRGINICA;VIRGINICA;67;33;57;21
i042_SETOSA;SETOSA;50;35;16;6
i043_VERSICOLOR;VERSICOLOR;58;26;40;12
i044_SETOSA;SETOSA;44;30;13;2
i045_VIRGINICA;VIRGINICA;77;28;67;20
i046_VIRGINICA;VIRGINICA;63;27;49;18
i048_SETOSA;SETOSA;47;32;16;2
i049_VERSICOLOR;VERSICOLOR;55;26;44;12
i050_VERSICOLOR;VERSICOLOR;50;23;33;10
i051_VIRGINICA;VIRGINICA;72;32;60;18
i052_SETOSA;SETOSA;48;30;14;3
i053_SETOSA;SETOSA;51;38;16;2
i054_VIRGINICA;VIRGINICA;61;30;49;18
i055_SETOSA;SETOSA;48;34;19;2
i056_SETOSA;SETOSA;50;30;16;2
i057_SETOSA;SETOSA;50;32;12;2
i058_VIRGINICA;VIRGINICA;61;26;56;14
