income;logincome;sqrtincome
2080.36;7.64;45.61
1685.87;7.43;41.06
1168.1;7.06;34.18
121.12;4.8;11.01
2015.42;7.61;44.89
1863.81;7.53;43.17
1102.56;7.01;33.2
1875.23;7.54;43.3
1073.05;6.98;32.76
927.52;6.83;30.46
1476.17;7.3;38.42
1786.85;7.49;42.27
753.19;6.63;27.44
1702.86;7.44;41.27
1610.53;7.38;40.13
1920.29;7.56;43.82
1527.92;7.33;39.09
2018.05;7.61;44.92
1414.45;7.26;37.61
810.57;6.7;28.47
2081.23;7.64;45.62
1036.08;6.94;32.19
1075.9;6.98;32.8
349.59;5.86;18.7
1150.4;7.05;33.92
772.19;6.65;27.79
959.14;6.87;30.97
755.83;6.63;27.49
1061.57;6.97;32.58
894.43;6.8;29.91
878.48;6.78;29.64
3003.3;8.01;54.8
1702.8;7.44;41.26
659.85;6.49;25.69
1487.87;7.31;38.57
290.01;5.67;17.03
868.26;6.77;29.47
1751.51;7.47;41.85
1615.92;7.39;40.2
1456.35;7.28;38.16
801.51;6.69;28.31
1282.42;7.16;35.81
1159.22;7.06;34.05
1754.66;7.47;41.89
1301.57;7.17;36.08
714.3;6.57;26.73
874.95;6.78;29.58
617.45;6.43;24.85
799.79;6.69;28.28
1366.54;7.22;36.97
2879.35;7.97;53.66
633.92;6.45;25.18
313.36;5.75;17.7
1270.04;7.15;35.64
2438.68;7.8;49.38
292.8;5.68;17.11
1264.08;7.14;35.55
618.56;6.43;24.87
1747.91;7.47;41.81
696.9;6.55;26.4
536.93;6.29;23.17
7884.32;8.97;88.79
3963.81;8.29;62.96
146.53;4.99;12.1
1403.28;7.25;37.46
4091.43;8.32;63.96
1154.62;7.05;33.98
971.26;6.88;31.17
974.82;6.88;31.22
772.47;6.65;27.79
1357.93;7.21;36.85
555.35;6.32;23.57
1926.49;7.56;43.89
1763.23;7.48;41.99
1253.3;7.13;35.4
325.36;5.79;18.04
993.77;6.9;31.52
1036.49;6.94;32.19
755.34;6.63;27.48
1393.73;7.24;37.33
1968.79;7.59;44.37
1445.17;7.28;38.02
961.7;6.87;31.01
1430.83;7.27;37.83
864.83;6.76;29.41
1211.15;7.1;34.8
2230.94;7.71;47.23
261.45;5.57;16.17
1703.72;7.44;41.28
1710.23;7.44;41.35
1157.31;7.05;34.02
1691.63;7.43;41.13
703.56;6.56;26.52
539.99;6.29;23.24
628.17;6.44;25.06
121.1;4.8;11
1089.94;6.99;33.01
645.21;6.47;25.4
1009.07;6.92;31.77
1004.34;6.91;31.69
3724.02;8.22;61.02
1189.84;7.08;34.49
734.23;6.6;27.1
1186.36;7.08;34.44
1404.96;7.25;37.48
1017.62;6.93;31.9
1236.77;7.12;35.17
864.06;6.76;29.39
1387.13;7.24;37.24
446.53;6.1;21.13
690.68;6.54;26.28
1438.2;7.27;37.92
67.2;4.22;8.2
923.81;6.83;30.39
623.98;6.44;24.98
879.37;6.78;29.65
1260.49;7.14;35.5
1783.83;7.49;42.24
1113.37;7.02;33.37
1512.65;7.32;38.89
982.16;6.89;31.34
330.01;5.8;18.17
1757.41;7.47;41.92
2266.71;7.73;47.61
362.66;5.9;19.04
1093.99;7;33.08
1230.96;7.12;35.08
624.76;6.44;25
1135.81;7.04;33.7
1219.85;7.11;34.93
1495.21;7.31;38.67
487.65;6.19;22.08
1695.48;7.44;41.18
1822.95;7.51;42.7
659.72;6.49;25.68
3861.79;8.26;62.14
1632.87;7.4;40.41
1326.48;7.19;36.42
1082.41;6.99;32.9
897.85;6.8;29.96
596.68;6.39;24.43
992.92;6.9;31.51
912.97;6.82;30.22
1203.43;7.09;34.69
1237.95;7.12;35.18
1151.83;7.05;33.94
4121.48;8.32;64.2
511;6.24;22.61
1576.19;7.36;39.7
353.13;5.87;18.79
1278.44;7.15;35.76
1923.7;7.56;43.86
2279.41;7.73;47.74
1041.07;6.95;32.27
2589.57;7.86;50.89
1202.92;7.09;34.68
79.65;4.39;8.92
476.96;6.17;21.84
1172.24;7.07;34.24
1179.88;7.07;34.35
1189.73;7.08;34.49
2690;7.9;51.87
775.3;6.65;27.84
1206.78;7.1;34.74
1441.34;7.27;37.96
150.24;5.02;12.26
545.14;6.3;23.35
32.16;3.5;5.67
844.02;6.74;29.05
792.18;6.68;28.15
1735.97;7.46;41.66
946.09;6.85;30.76
2217.63;7.7;47.09
2123.37;7.66;46.08
118.61;4.78;10.89
920.11;6.83;30.33
47.8;3.89;6.91
1173.88;7.07;34.26
735.1;6.6;27.11
2361.86;7.77;48.6
1943.08;7.57;44.08
2212.99;7.7;47.04
863.54;6.76;29.39
5543.25;8.62;74.45
782.3;6.66;27.97
1174.37;7.07;34.27
42.51;3.77;6.52
1574.67;7.36;39.68
706.79;6.56;26.59
1540.12;7.34;39.24
1143.05;7.04;33.81
1077.02;6.98;32.82
2091.54;7.65;45.73
1049.18;6.96;32.39
1245.52;7.13;35.29
1066.3;6.97;32.65
593.99;6.39;24.37
1312.89;7.18;36.23
916.29;6.82;30.27
814.45;6.7;28.54
367.68;5.91;19.18
1189.87;7.08;34.49
773.56;6.65;27.81
1088.86;6.99;33
1066.13;6.97;32.65
1458.4;7.29;38.19
674.92;6.52;25.98
1617.46;7.39;40.22
1129.5;7.03;33.61
848.35;6.74;29.13
1826.33;7.51;42.74
744.8;6.61;27.29
1256.89;7.14;35.45
1558.85;7.35;39.48
1391.12;7.24;37.3
693.89;6.54;26.34
361.66;5.89;19.02
1317.08;7.18;36.29
1803.12;7.5;42.46
1700.99;7.44;41.24
2577.46;7.85;50.77
1257.11;7.14;35.46
2720.25;7.91;52.16
2528.51;7.84;50.28
693.25;6.54;26.33
705.82;6.56;26.57
1218.02;7.11;34.9
1380.36;7.23;37.15
700.37;6.55;26.46
1815.93;7.5;42.61
777.92;6.66;27.89
1007.69;6.92;31.74
1033.44;6.94;32.15
1734.14;7.46;41.64
1020.77;6.93;31.95
900.17;6.8;30
652.72;6.48;25.55
2007.1;7.6;44.8
1664.18;7.42;40.79
566;6.34;23.79
1652.78;7.41;40.65
1064.62;6.97;32.63
2391.8;7.78;48.91
885.11;6.79;29.75
1500.93;7.31;38.74
1815.96;7.5;42.61
759.04;6.63;27.55
595.91;6.39;24.41
136.79;4.93;11.7
1120.5;7.02;33.47
836.73;6.73;28.93
1352.67;7.21;36.78
866.75;6.77;29.44
1400.27;7.25;37.42
1419.91;7.26;37.68
821.79;6.71;28.67
2125.33;7.66;46.1
991.87;6.9;31.49
484.73;6.19;22.02
818.24;6.71;28.6
1663.56;7.42;40.79
2266.1;7.73;47.6
1382.92;7.23;37.19
1182.62;7.08;34.39
787.29;6.67;28.06
702.97;6.56;26.51
880.82;6.78;29.68
1568.22;7.36;39.6
1390.6;7.24;37.29
1156.61;7.05;34.01
2419.16;7.79;49.18
862.55;6.76;29.37
2002.22;7.6;44.75
1214.14;7.1;34.84
2098.83;7.65;45.81
1348.75;7.21;36.73
1768.19;7.48;42.05
1334.88;7.2;36.54
580.24;6.37;24.09
1073.25;6.98;32.76
700.39;6.55;26.46
1098.03;7;33.14
1288.09;7.16;35.89
2842.64;7.95;53.32
863.62;6.76;29.39
1129.2;7.03;33.6
1600.34;7.38;40
1209.76;7.1;34.78
1189.54;7.08;34.49
619.54;6.43;24.89
1170.13;7.07;34.21
2744.48;7.92;52.39
1381.62;7.23;37.17
2107.28;7.65;45.91
1708.11;7.44;41.33
1536.97;7.34;39.2
102.76;4.64;10.14
668.81;6.51;25.86
338.69;5.83;18.4
1978.12;7.59;44.48
331.61;5.81;18.21
932.88;6.84;30.54
427.02;6.06;20.66
1285.39;7.16;35.85
1445.78;7.28;38.02
1016.27;6.92;31.88
1239.09;7.12;35.2
1938.22;7.57;44.03
1329.95;7.19;36.47
1293.41;7.17;35.96
908.45;6.81;30.14
2925.99;7.98;54.09
976.37;6.88;31.25
794.32;6.68;28.18
612.47;6.42;24.75
516.38;6.25;22.72
4227.21;8.35;65.02
1464.96;7.29;38.27
808.26;6.7;28.43
1079.94;6.99;32.86
668.66;6.51;25.86
973.18;6.88;31.2
1371.13;7.22;37.03
896.37;6.8;29.94
729.99;6.59;27.02
534.08;6.28;23.11
766.61;6.64;27.69
1597.11;7.38;39.96
1228.61;7.11;35.05
1177.78;7.07;34.32
476.03;6.17;21.82
762.9;6.64;27.62
774.94;6.65;27.84
477.95;6.17;21.86
919.85;6.83;30.33
1341.26;7.2;36.62
618.03;6.43;24.86
742.09;6.61;27.24
944.63;6.85;30.73
40.61;3.73;6.37
1945.38;7.57;44.11
1114.02;7.02;33.38
1650.69;7.41;40.63
1756.51;7.47;41.91
1337.59;7.2;36.57
2037.16;7.62;45.13
1010.88;6.92;31.79
766.33;6.64;27.68
765.99;6.64;27.68
1084.45;6.99;32.93
864.43;6.76;29.4
930.1;6.84;30.5
2039.89;7.62;45.17
1263.77;7.14;35.55
888.94;6.79;29.82
1008.49;6.92;31.76
773.74;6.65;27.82
879.51;6.78;29.66
1895.31;7.55;43.54
665.26;6.5;25.79
1296.27;7.17;36
2194.04;7.69;46.84
1061.42;6.97;32.58
1312.66;7.18;36.23
1320.54;7.19;36.34
765.16;6.64;27.66
4626.3;8.44;68.02
2182.83;7.69;46.72
891.36;6.79;29.86
1181.7;7.08;34.38
2171.74;7.68;46.6
315.81;5.76;17.77
1690.75;7.43;41.12
514.63;6.25;22.69
944.39;6.85;30.73
2235.58;7.71;47.28
1025.2;6.93;32.02
1193.53;7.09;34.55
7664.03;8.94;87.54
644;6.47;25.38
1299.17;7.17;36.04
1127.27;7.03;33.57
1430.57;7.27;37.82
0;0;0
2709.99;7.91;52.06
733.93;6.6;27.09
2078.87;7.64;45.59
1105.25;7.01;33.25
360.87;5.89;19
921.58;6.83;30.36
354.42;5.87;18.83
1127.92;7.03;33.58
1079.65;6.99;32.86
748.94;6.62;27.37
1346.92;7.21;36.7
890.3;6.79;29.84
1448.93;7.28;38.06
135.32;4.91;11.63
813.98;6.7;28.53
1695.16;7.44;41.17
1823.91;7.51;42.71
1645.21;7.41;40.56
990.56;6.9;31.47
1239.74;7.12;35.21
1262.64;7.14;35.53
980.78;6.89;31.32
1143.04;7.04;33.81
1179.01;7.07;34.34
707.08;6.56;26.59
1651.52;7.41;40.64
899.53;6.8;29.99
1308.75;7.18;36.18
178.96;5.19;13.38
586.99;6.38;24.23
866.42;6.77;29.44
1088.92;6.99;33
1241.4;7.12;35.23
891.18;6.79;29.85
2434.92;7.8;49.34
1178.54;7.07;34.33
359.28;5.89;18.95
1110.19;7.01;33.32
1519.49;7.33;38.98
1362.4;7.22;36.91
1597.94;7.38;39.97
715.95;6.58;26.76
1383.7;7.23;37.2
118.52;4.78;10.89
535.65;6.29;23.14
1547.84;7.35;39.34
1448.03;7.28;38.05
986.87;6.9;31.41
1062.11;6.97;32.59
1736.51;7.46;41.67
1293.58;7.17;35.97
755.49;6.63;27.49
697.99;6.55;26.42
1506.81;7.32;38.82
457.27;6.13;21.38
373.73;5.93;19.33
722.25;6.58;26.87
2092.39;7.65;45.74
1073.51;6.98;32.76
1911.97;7.56;43.73
1057.99;6.97;32.53
2794.21;7.94;52.86
60.98;4.13;7.81
2711.02;7.91;52.07
1958.21;7.58;44.25
1202;7.09;34.67
2069.87;7.64;45.5
1681.24;7.43;41
862.02;6.76;29.36
925.57;6.83;30.42
33.22;3.53;5.76
1103.53;7.01;33.22
1865.45;7.53;43.19
1685.01;7.43;41.05
433.88;6.08;20.83
